number,value,datetime_start,datetime_complete,duration,params_batch_size,params_drop_out_rate,params_epochs,params_latent_dim,params_learning_rate,params_lstm_units,params_optimizer,user_attrs_relative_deterioration,user_attrs_test_r2,state
0,0.0704283078534633,2024-10-11 13:59:17.009744,2024-10-11 13:59:44.787855,0 days 00:00:27.778111,24.0,0.3,50.0,16,0.00011116916935852555,32,adam,0.02975170381083621,0.14624623554340677,COMPLETE
1,0.08563184478998717,2024-10-11 13:59:44.794534,2024-10-11 14:00:16.797553,0 days 00:00:32.003019,8.0,0.2,10.0,8,0.00011901017352678643,128,sgd,0.021632574371255275,-0.038055748818039525,COMPLETE
2,0.08856220847728653,2024-10-11 14:00:16.802970,2024-10-11 14:00:59.637007,0 days 00:00:42.834037,24.0,0.3,30.0,16,0.00010127790740423381,128,sgd,0.01670721523786795,-0.07357852517757002,COMPLETE
3,0.2866762563292907,2024-10-11 14:00:59.642590,2024-10-11 14:01:21.957538,0 days 00:00:22.314948,8.0,0.1,10.0,32,0.0007248834582035827,64,adadelta,0.01461171440184677,-2.4751783832531715,COMPLETE
4,0.2857342293937627,2024-10-11 14:01:21.962736,2024-10-11 14:04:10.989711,0 days 00:02:49.026975,8.0,0.1,50.0,32,0.00011508362925317406,96,adadelta,0.007910744894463884,-2.4637588409279467,COMPLETE
5,0.18877873952223356,2024-10-11 14:04:10.994991,2024-10-11 14:04:53.176649,0 days 00:00:42.181658,8.0,0.3,30.0,32,0.0009485650409250289,32,adadelta,0.01959689568004311,-1.2884343586930584,COMPLETE
6,0.312424238028415,2024-10-11 14:04:53.182302,2024-10-11 14:05:29.440176,0 days 00:00:36.257874,32.0,0.2,30.0,16,0.0002144328182998945,96,adadelta,0.007084301074400391,-2.78730339339149,COMPLETE
7,0.26204322168712,2024-10-11 14:05:29.446198,2024-10-11 14:05:46.530995,0 days 00:00:17.084797,24.0,0.1,30.0,32,0.0007926662176059626,32,adadelta,0.011605338792138941,-2.1765691067176607,COMPLETE
8,0.08252519322378396,2024-10-11 14:05:46.536269,2024-10-11 14:06:43.382431,0 days 00:00:56.846162,16.0,0.2,30.0,32,0.00015732550725160364,128,sgd,0.011751729223985216,-0.0003959561815403134,COMPLETE
9,0.08249275309861889,2024-10-11 14:06:43.387959,2024-10-11 14:07:34.506194,0 days 00:00:51.118235,8.0,0.2,50.0,8,0.00041677189349702276,96,sgd,0.011385868505129803,-2.7069352750430653e-06,COMPLETE
10,0.04573995156113014,2024-10-11 14:07:34.511924,2024-10-11 14:08:11.021650,0 days 00:00:36.509726,32.0,0.3,50.0,24,0.0003190101090893298,64,adam,-0.0929970292291576,0.44552613825923715,COMPLETE
11,0.04441202050959342,2024-10-11 14:08:11.027243,2024-10-11 14:08:47.606488,0 days 00:00:36.579245,32.0,0.3,50.0,24,0.00033214979903353796,64,adam,0.012705646773244868,0.46162372982067534,COMPLETE
12,0.036724568949726165,2024-10-11 14:08:47.611915,2024-10-11 14:09:23.903193,0 days 00:00:36.291278,32.0,0.3,50.0,24,0.0003473438931428034,64,adam,0.10086663737498762,0.5548133989799867,COMPLETE
13,0.04671964658068671,2024-10-11 14:09:23.908626,2024-10-11 14:09:54.633253,0 days 00:00:30.724627,32.0,0.3,50.0,24,0.0004874460914449164,64,adam,-0.004434996461628554,0.43364997175093356,COMPLETE
14,0.04627649791548692,2024-10-11 14:09:54.638607,2024-10-11 14:10:30.858931,0 days 00:00:36.220324,32.0,0.3,50.0,24,0.0002470453341833222,64,adam,0.020514001268939097,0.4390219571451507,COMPLETE
15,0.025828071761268227,2024-10-11 14:10:30.864776,2024-10-11 14:11:30.085445,0 days 00:00:59.220669,16.0,0.3,50.0,24,0.00047956956866796244,64,adam,0.04038402785395738,0.6869041133187834,COMPLETE
16,0.014636581749558543,2024-10-11 14:11:30.090781,2024-10-11 14:12:57.700662,0 days 00:01:27.609881,16.0,0.2,50.0,24,0.0005487313671690597,96,adam,0.10961669419928037,0.8225708220412996,COMPLETE
17,0.03965339836391453,2024-10-11 14:12:57.706010,2024-10-11 14:13:16.776171,0 days 00:00:19.070161,16.0,0.2,10.0,16,0.0005592320783858845,96,adam,0.159004981812505,0.5193092215543814,COMPLETE
18,0.02321424447594434,2024-10-11 14:13:16.781416,2024-10-11 14:14:11.068290,0 days 00:00:54.286874,16.0,0.2,30.0,24,0.000588667036635081,96,adam,0.14080598007053313,0.7185897373597263,COMPLETE
19,0.017747733443323387,2024-10-11 14:14:11.073755,2024-10-11 14:15:05.331935,0 days 00:00:54.258180,16.0,0.2,30.0,16,0.0006402300712322231,96,adam,0.19425736569014343,0.7848564774644886,COMPLETE
20,0.041340414888519895,2024-10-11 16:08:08.827870,2024-10-11 16:08:36.396214,0 days 00:00:27.568344,16.0,0.2,10.0,8,0.000684151531442493,128,adam,-0.031698051912838573,0.49885868465409033,COMPLETE
21,0.02010603984503188,2024-10-11 16:08:36.402663,2024-10-11 16:09:30.641048,0 days 00:00:54.238385,16.0,0.2,30.0,16,0.0005981571643262189,96,adam,0.18983734611529215,0.7562683567277257,COMPLETE
22,0.014989921075053503,2024-10-11 16:09:30.647673,2024-10-11 16:10:25.282126,0 days 00:00:54.634453,16.0,0.2,30.0,16,0.0009450527310531797,96,adam,0.24348084166276754,0.8182875332833255,COMPLETE
23,0.01350938988596647,2024-10-11 16:10:25.287599,2024-10-11 16:11:06.371330,0 days 00:00:41.083731,24.0,0.1,30.0,16,0.0009899882721620531,96,adam,0.21327299798909952,0.8362349909832665,COMPLETE
24,0.015195828878608974,2024-10-11 16:11:06.377693,2024-10-11 16:11:46.940107,0 days 00:00:40.562414,24.0,0.1,30.0,16,0.0008160447406567104,96,adam,0.1719181616974943,0.8157914551043319,COMPLETE
25,0.010572240036690675,2024-10-11 16:11:46.946169,2024-10-11 16:12:45.276184,0 days 00:00:58.330015,24.0,0.1,30.0,8,0.0009906391506556934,128,adam,0.26736215861112567,0.8718400313004323,COMPLETE
26,0.03798349505610968,2024-10-11 16:12:45.281765,2024-10-11 16:13:06.253169,0 days 00:00:20.971404,24.0,0.1,10.0,8,0.0009918060863826816,128,adam,0.06684118966129843,0.539552306739436,COMPLETE
27,0.00862423640069567,2024-10-11 16:13:06.258852,2024-10-11 16:14:03.798658,0 days 00:00:57.539806,24.0,0.1,30.0,8,0.0008276860445106419,128,adam,0.4134353964905861,0.8954543348112625,COMPLETE
28,0.08249247553998146,2024-10-11 16:14:03.804028,2024-10-11 16:14:36.800999,0 days 00:00:32.996971,24.0,0.1,30.0,8,0.0008257466655254338,128,sgd,0.011394226357592305,6.577165078125446e-07,COMPLETE
29,0.013590049353038574,2024-10-11 16:14:36.806355,2024-10-11 16:15:35.114384,0 days 00:00:58.308029,24.0,0.1,30.0,8,0.000836774138482395,128,adam,0.059953027905987194,0.8352572119374437,COMPLETE
30,0.01319823204944751,2024-10-11 16:15:35.119710,2024-10-11 16:16:34.981375,0 days 00:00:59.861665,24.0,0.1,30.0,8,0.0007177770111334203,128,adam,0.2562365234318517,0.8400069426652658,COMPLETE
31,0.015451455379844027,2024-10-11 16:16:34.986907,2024-10-11 16:17:35.534313,0 days 00:01:00.547406,24.0,0.1,30.0,8,0.0007107294202745615,128,adam,0.126527541625781,0.812692671470649,COMPLETE
32,0.01070560690271956,2024-10-11 16:17:35.539817,2024-10-11 16:18:39.120404,0 days 00:01:03.580587,24.0,0.1,30.0,8,0.0009910212443665263,128,adam,0.2029751181973911,0.8702233168372246,COMPLETE
33,0.00944797672087875,2024-10-11 16:18:39.125838,2024-10-11 16:19:37.824697,0 days 00:00:58.698859,24.0,0.1,30.0,8,0.0008653803175171011,128,adam,0.37247973533443174,0.8854686994790286,COMPLETE
34,0.08249291116379091,2024-10-11 16:19:37.831281,2024-10-11 16:20:10.886465,0 days 00:00:33.055184,24.0,0.1,30.0,8,0.0008507108378269534,128,sgd,0.011448409434421537,-4.6230502541710905e-06,COMPLETE
35,0.03502565749181098,2024-10-11 16:20:10.891854,2024-10-11 16:20:31.648676,0 days 00:00:20.756822,24.0,0.1,10.0,8,0.0007667689424749393,128,adam,0.03334817522395827,0.5754081299465663,COMPLETE
36,0.20947815490070987,2024-10-11 16:20:31.654288,2024-10-11 16:21:34.752614,0 days 00:01:03.098326,24.0,0.1,30.0,8,0.0008917703429090985,128,adadelta,0.017762297170813752,-1.539359083992359,COMPLETE
37,0.057515904323402645,2024-10-11 16:21:34.758027,2024-10-11 16:21:56.061009,0 days 00:00:21.302982,24.0,0.1,10.0,8,0.0001347845472191448,128,adam,0.10987977394170625,0.3027743910247084,COMPLETE
38,0.2764054554218299,2024-10-11 16:21:56.066185,2024-10-11 16:23:01.068103,0 days 00:01:05.001918,24.0,0.1,30.0,8,0.00042320759295090077,128,adadelta,0.010166815364873698,-2.35067255305527,COMPLETE
39,0.08250518637698205,2024-10-11 16:23:01.073874,2024-10-11 16:23:43.933148,0 days 00:00:42.859274,24.0,0.1,30.0,8,0.00025793080379774366,128,sgd,0.011799987316035786,-0.00015342698706399815,COMPLETE
40,0.012622150817549325,2024-10-11 16:23:43.938372,2024-10-11 16:24:33.767734,0 days 00:00:49.829362,32.0,0.1,30.0,8,0.000672299583554563,128,adam,0.2830717186022116,0.846990377811673,COMPLETE
41,0.014388019194043426,2024-10-11 16:24:33.773160,2024-10-11 16:25:23.966163,0 days 00:00:50.193003,32.0,0.1,30.0,8,0.0006551888260037791,128,adam,0.24607301204343415,0.825583974336759,COMPLETE
42,0.01426110964567231,2024-10-11 16:25:23.971888,2024-10-11 16:26:15.229833,0 days 00:00:51.257945,32.0,0.1,30.0,8,0.0009046188069909602,128,adam,0.21622613536675053,0.8271224111950286,COMPLETE
43,0.013490328778381964,2024-10-11 16:26:15.235992,2024-10-11 16:27:04.349737,0 days 00:00:49.113745,32.0,0.1,30.0,8,0.0007486398849252072,128,adam,0.21858653155989,0.8364660556339868,COMPLETE
44,0.21640916142172575,2024-10-11 16:27:04.355486,2024-10-11 16:28:08.628971,0 days 00:01:04.273485,24.0,0.1,30.0,8,0.000984793102384175,128,adadelta,0.01742376311197484,-1.6233788920658752,COMPLETE
45,0.014202978145444007,2024-10-11 16:28:08.634297,2024-10-11 16:28:59.463273,0 days 00:00:50.828976,32.0,0.1,30.0,16,0.000768342635847976,128,adam,0.16378897562696995,0.8278270992482569,COMPLETE
46,0.033175039703404206,2024-10-11 16:28:59.468870,2024-10-11 16:29:19.053119,0 days 00:00:19.584249,24.0,0.1,30.0,8,0.0008958528330589735,32,adam,0.14089600322815163,0.5978418920456074,COMPLETE
47,0.015278544553825086,2024-10-11 16:29:19.059220,2024-10-11 16:30:07.393899,0 days 00:00:48.334679,32.0,0.1,30.0,8,0.0006655290050528824,128,adam,0.28079527286772193,0.8147887500664336,COMPLETE
48,0.08249290142813497,2024-10-11 16:30:07.399537,2024-10-11 16:30:50.519732,0 days 00:00:43.120195,24.0,0.1,30.0,8,0.0005032633360696452,128,sgd,0.011326092010685176,-4.5050316170858196e-06,COMPLETE
49,0.03358422890087057,2024-10-11 16:30:50.525177,2024-10-11 16:31:38.414442,0 days 00:00:47.889265,32.0,0.1,30.0,8,0.00020683835680279517,128,adam,0.10528382082830033,0.5928815738389177,COMPLETE
50,,2024-10-11 16:47:40.492325,2024-10-11 16:47:40.512955,0 days 00:00:00.020630,,0.1,,16,0.0004013266272061548,160,,,,FAIL
51,,2024-10-11 16:48:01.721620,2024-10-11 16:48:01.742663,0 days 00:00:00.021043,,0.1,,16,0.0007924681979100944,160,,,,FAIL
52,0.29911279015518366,2024-10-11 16:48:36.585111,2024-10-11 16:49:07.846163,0 days 00:00:31.261052,24.0,0.1,10.0,16,0.000874787786140828,160,adadelta,0.012248014509541019,-2.6259378987698536,COMPLETE
53,0.009936449836614358,2024-10-11 16:49:07.852950,2024-10-11 16:50:27.884220,0 days 00:01:20.031270,24.0,0.1,30.0,8,0.000727172732369184,160,adam,0.2644920130494223,0.8795472770552097,COMPLETE
54,0.011666063642052712,2024-10-11 16:50:27.889910,2024-10-11 16:52:09.441241,0 days 00:01:41.551331,24.0,0.1,30.0,8,0.0007710847097411073,192,adam,0.199601098705955,0.8585803627212532,COMPLETE
55,0.008851297331374925,2024-10-11 16:52:09.447821,2024-10-11 16:53:56.080648,0 days 00:01:46.632827,24.0,0.1,30.0,8,0.0007831779624350125,192,adam,0.2630681506797272,0.8927018318726462,COMPLETE
56,0.011644765720998396,2024-10-11 16:53:56.086165,2024-10-11 16:55:43.908213,0 days 00:01:47.822048,24.0,0.1,30.0,8,0.0005957435088153091,192,adam,0.20421736874553337,0.8588385427177547,COMPLETE
57,0.019929592156382715,2024-10-11 16:55:43.914842,2024-10-11 16:57:20.301566,0 days 00:01:36.386724,24.0,0.1,30.0,8,0.0003827050773252176,160,adam,0.15891240217800445,0.7584073102679318,COMPLETE
58,0.011004067495271904,2024-10-11 16:57:20.307367,2024-10-11 16:58:52.575718,0 days 00:01:32.268351,24.0,0.1,30.0,16,0.0009187880332816412,160,adam,0.14228637704566338,0.8666052850798284,COMPLETE
59,0.008369494965139808,2024-10-11 16:58:52.581244,2024-10-11 17:00:35.301459,0 days 00:01:42.720215,24.0,0.1,30.0,8,0.0008270046637091896,192,adam,0.28245599786173986,0.8985423894046144,COMPLETE
60,0.00727061590726975,2024-10-11 17:00:35.306935,2024-10-11 17:03:32.393412,0 days 00:02:57.086477,24.0,0.1,50.0,16,0.0005220899930997754,192,adam,0.22066697567979954,0.9118633417451291,COMPLETE
61,0.010406561006783126,2024-10-11 17:03:32.398785,2024-10-11 17:07:21.683621,0 days 00:03:49.284836,16.0,0.2,50.0,16,0.0005324938227116892,192,adam,0.10904418316419223,0.8738484438235529,COMPLETE
62,0.006892276638813947,2024-10-11 17:07:21.688890,2024-10-11 17:10:32.458891,0 days 00:03:10.770001,24.0,0.1,50.0,32,0.00044548653798735945,192,adam,0.31275122826101664,0.9164496875559351,COMPLETE
63,0.005559503797337279,2024-10-11 17:10:32.465128,2024-10-11 17:13:25.895036,0 days 00:02:53.429908,24.0,0.1,50.0,32,0.0006070160579220715,192,adam,0.22934648183444983,0.9326059727948721,COMPLETE
64,0.012188202656942796,2024-10-11 17:13:25.900676,2024-10-11 17:16:16.205048,0 days 00:02:50.304372,24.0,0.1,50.0,32,0.00045803210275790693,192,adam,-0.4657372361187832,0.85225083183916,COMPLETE
65,0.005799615855362307,2024-10-11 17:16:16.210955,2024-10-11 17:19:13.517115,0 days 00:02:57.306160,24.0,0.1,50.0,32,0.0006085792708256299,192,adam,0.34002832573759617,0.9296952600477077,COMPLETE
66,0.005065006624036508,2024-10-11 17:19:13.522642,2024-10-11 17:21:57.328383,0 days 00:02:43.805741,24.0,0.1,50.0,32,0.0005988845817861514,192,adam,0.2631173852486963,0.938600420710575,COMPLETE
67,0.005190382154890612,2024-10-11 17:21:57.333718,2024-10-11 17:39:37.950726,0 days 00:17:40.617008,8.0,0.1,50.0,32,0.00044485224947131674,192,adam,0.17454549191386085,0.937080579687841,COMPLETE
68,0.00516347469533151,2024-10-11 17:39:37.956512,2024-10-11 17:46:28.919095,0 days 00:06:50.962583,8.0,0.2,50.0,32,0.0003811597826885056,192,adam,0.3783694047198052,0.9374067602477707,COMPLETE
69,0.08249226761384515,2024-10-11 17:46:28.925827,2024-10-11 17:48:14.197633,0 days 00:01:45.271806,8.0,0.2,50.0,32,0.0003734282385900507,192,sgd,0.011410664899752655,3.178261541614269e-06,COMPLETE
70,0.0069431475470478595,2024-10-11 17:48:14.203254,2024-10-11 17:54:50.685832,0 days 00:06:36.482578,8.0,0.2,50.0,32,0.00042417157124159677,192,adam,0.15198032138929435,0.9158330146479847,COMPLETE
71,0.006183635815637899,2024-10-11 17:54:50.691378,2024-10-11 18:01:18.014722,0 days 00:06:27.323344,8.0,0.2,50.0,32,0.00045150757972068083,192,adam,0.16633753785547722,0.9250400511309478,COMPLETE
72,0.006183692029932813,2024-10-11 18:01:18.019907,2024-10-11 18:07:44.822681,0 days 00:06:26.802774,8.0,0.2,50.0,32,0.00029862614052845,192,adam,0.30996691850511027,0.9250393696838514,COMPLETE
73,0.007261063512869117,2024-10-11 18:07:44.828220,2024-10-11 22:37:36.263579,0 days 04:29:51.435359,8.0,0.2,50.0,32,0.00028627155978382855,192,adam,0.29264694851937917,0.9119791388291096,COMPLETE
74,0.0060260851377146344,2024-10-11 22:37:36.268970,2024-10-12 10:21:40.566681,0 days 11:44:04.297711,8.0,0.2,50.0,32,0.0004518310294516166,192,adam,0.28965045409749773,0.926949929253386,COMPLETE
75,0.005399572768139898,2024-10-12 10:21:40.572674,2024-10-12 10:29:02.692389,0 days 00:07:22.119715,8.0,0.2,50.0,32,0.00036762447876673073,192,adam,0.35843181492780457,0.9345447062728194,COMPLETE
76,0.005417779058549878,2024-10-12 10:29:02.697901,2024-10-12 10:35:57.610378,0 days 00:06:54.912477,8.0,0.2,50.0,32,0.0003885585338154969,192,adam,0.369914286019194,0.9343240039806863,COMPLETE
77,0.00639120450211741,2024-10-12 10:35:57.617097,2024-10-12 10:42:59.226779,0 days 00:07:01.609682,8.0,0.2,50.0,32,0.0003855149013654093,192,adam,0.31885840831406603,0.9225238392146554,COMPLETE
78,0.11921195349359216,2024-10-12 10:42:59.233091,2024-10-12 10:51:15.153743,0 days 00:08:15.920652,8.0,0.2,50.0,32,0.0005648982951808643,192,adadelta,0.02103818120596819,-0.4451242286715502,COMPLETE
79,0.006525698720946111,2024-10-12 10:51:15.160313,2024-10-12 10:58:18.688350,0 days 00:07:03.528037,8.0,0.2,50.0,32,0.00032850276339228574,192,adam,0.30954273801545157,0.920893458631587,COMPLETE
80,0.00516497405022116,2024-10-12 10:58:18.693853,2024-10-12 11:04:56.834383,0 days 00:06:38.140530,8.0,0.2,50.0,32,0.0003576564994556096,192,adam,0.4276425186731166,0.9373885846033415,COMPLETE
81,0.009575169550168497,2024-10-12 11:04:56.839709,2024-10-12 11:11:37.829427,0 days 00:06:40.989718,8.0,0.3,50.0,32,0.00034846140418816254,192,adam,0.15344756016457814,0.8839268286017111,COMPLETE
82,0.08249254155515358,2024-10-12 14:25:52.056133,2024-10-12 14:28:04.048586,0 days 00:02:11.992453,8.0,0.2,50.0,32,0.00034853592076024986,224,sgd,0.01145610428618124,-1.4253985836099048e-07,COMPLETE
83,0.004316578594882362,2024-10-12 14:28:04.055435,2024-10-12 14:36:36.125169,0 days 00:08:32.069734,8.0,0.2,50.0,32,0.0004086485271052788,224,adam,0.43327787755697716,0.9476730971213823,COMPLETE
84,0.004949573365222066,2024-10-12 14:36:36.131441,2024-10-12 14:47:48.935678,0 days 00:11:12.804237,8.0,0.2,50.0,32,0.0003628223583663225,256,adam,0.34028510175179427,0.9399997384318154,COMPLETE
85,0.00914551166043489,2024-10-12 14:47:48.941383,2024-10-12 15:00:18.760391,0 days 00:12:29.819008,8.0,0.2,50.0,32,0.00039884291694522055,256,adam,-0.298184888670285,0.8891352746366744,COMPLETE
86,0.004935351819417083,2024-10-12 15:00:18.768324,2024-10-12 15:13:15.074816,0 days 00:12:56.306492,8.0,0.2,50.0,32,0.00030962310738668985,256,adam,0.3990291479476018,0.9401721364154878,COMPLETE
87,0.005110002069690493,2024-10-12 15:13:15.080407,2024-10-12 15:26:05.800203,0 days 00:12:50.719796,8.0,0.2,50.0,32,0.00030232723095917796,256,adam,0.40489641230509976,0.9380549719800672,COMPLETE
88,0.0050974962880741175,2024-10-12 15:26:05.805916,2024-10-12 15:36:41.770276,0 days 00:10:35.964360,8.0,0.2,50.0,24,0.0002625688543784799,256,adam,0.45075329953832366,0.938206570938751,COMPLETE
89,0.006764514482290315,2024-10-12 15:36:41.776587,2024-10-12 15:47:21.190719,0 days 00:10:39.414132,8.0,0.2,50.0,24,0.0002589565630325325,256,adam,0.2626460330957339,0.9179984599943429,COMPLETE
90,0.004876179313565142,2024-10-12 15:47:21.196106,2024-10-12 15:58:37.550824,0 days 00:11:16.354718,8.0,0.2,50.0,24,0.00029905153468032133,256,adam,0.35744100569082476,0.9408894438613593,COMPLETE
91,0.228642585948131,2024-10-12 15:58:37.556301,2024-10-12 16:12:41.703601,0 days 00:14:04.147300,8.0,0.2,50.0,24,0.00021270500725507481,256,adadelta,0.011823563430935154,-1.7716762537367692,COMPLETE
92,0.005303672544272512,2024-10-12 16:12:41.710108,2024-10-12 16:23:42.722985,0 days 00:11:01.012877,8.0,0.2,50.0,24,0.00022768876657703092,256,adam,0.3934195476823144,0.935707238493661,COMPLETE
93,0.0058619671284405196,2024-10-12 16:23:42.728342,2024-10-12 16:35:47.321225,0 days 00:12:04.592883,8.0,0.2,50.0,24,0.00030705303082500813,256,adam,0.3443274682991918,0.9289394186008291,COMPLETE
94,0.005331125394731745,2024-10-12 16:35:47.326426,2024-10-12 16:46:33.305303,0 days 00:10:45.978877,8.0,0.2,50.0,32,0.0002763933176566253,256,adam,0.31011830632446435,0.9353744465362935,COMPLETE
95,0.005272842805856986,2024-10-12 16:46:33.310684,2024-10-12 16:57:41.406558,0 days 00:11:08.095874,8.0,0.2,50.0,32,0.0003339674914092953,256,adam,0.33336914509161253,0.9360809661328972,COMPLETE
96,0.009970633695088856,2024-10-12 16:57:41.411933,2024-10-12 17:07:23.645055,0 days 00:09:42.233122,8.0,0.2,50.0,32,0.0003146842593693267,224,adam,-0.30095245533388487,0.8791328897336093,COMPLETE
97,0.005131048185221969,2024-10-12 17:07:23.650454,2024-10-12 17:19:05.482391,0 days 00:11:41.831937,8.0,0.2,50.0,32,0.000274475588508878,256,adam,0.39771588579972805,0.9377998444481155,COMPLETE
98,0.005491776695923839,2024-10-12 17:19:05.487825,2024-10-12 17:30:12.030053,0 days 00:11:06.542228,8.0,0.2,50.0,32,0.0002408825593549806,256,adam,0.41355417265549416,0.933426981698107,COMPLETE
99,0.004937399479965682,2024-10-12 17:30:12.036329,2024-10-12 17:41:25.280486,0 days 00:11:13.244157,8.0,0.2,50.0,24,0.0002739247464206659,256,adam,0.41799652812607313,0.9401473140400115,COMPLETE
100,0.006879868705349803,2024-10-12 17:41:25.286597,2024-10-12 17:51:41.584489,0 days 00:10:16.297892,8.0,0.2,50.0,24,0.00019472900677163825,256,adam,0.35821215058075423,0.9166001003690072,COMPLETE
101,0.008161589734933541,2024-10-12 17:51:41.590245,2024-10-12 17:56:55.900508,0 days 00:05:14.310263,16.0,0.2,50.0,24,0.0002697320090554646,256,adam,0.3532658655383655,0.9010626810082141,COMPLETE
102,0.0824936927634814,2024-10-16 14:46:21.471257,2024-10-16 14:54:36.947173,0 days 00:08:15.475916,8.0,0.2,50.0,24,0.0002929526764970805,256,sgd,0.011320139252696012,-1.4097843819227407e-05,COMPLETE
103,0.08249351643422421,2024-10-16 14:46:21.474970,2024-10-16 14:54:16.610524,0 days 00:07:55.135554,8.0,0.2,50.0,24,0.0002909047525778909,256,sgd,0.011425886574724126,-1.1960325941862138e-05,COMPLETE
104,0.08249320198141466,2024-10-16 14:46:21.475059,2024-10-16 14:55:04.826841,0 days 00:08:43.351782,8.0,0.2,50.0,24,0.00028881879008240666,256,sgd,0.011312072288317855,-8.148431576149306e-06,COMPLETE
105,0.08249318873650673,2024-10-16 14:46:21.475059,2024-10-16 14:55:25.525272,0 days 00:09:04.050213,8.0,0.2,50.0,24,0.00024550719782166547,256,sgd,0.01149591943074097,-7.9878726992888e-06,COMPLETE
106,0.08249410690855684,2024-10-16 14:46:21.475045,2024-10-16 14:54:35.433804,0 days 00:08:13.958759,8.0,0.2,50.0,24,0.0002904829337473485,256,sgd,0.011392506659237706,-1.9118238713922153e-05,COMPLETE
107,0.0824936768721445,2024-10-16 14:46:21.475006,2024-10-16 14:53:55.526678,0 days 00:07:34.051672,8.0,0.2,50.0,24,0.00029104018430864924,256,sgd,0.011403574254919098,-1.3905204110598035e-05,COMPLETE
108,0.005925535498041829,2024-10-16 14:53:55.538362,2024-10-16 15:17:44.918979,0 days 00:23:49.380617,8.0,0.2,50.0,32,0.00023990144909896217,256,adam,0.3519055068011843,0.928168823132876,COMPLETE
109,0.007345444692003102,2024-10-16 14:54:16.623676,2024-10-16 15:15:59.947292,0 days 00:21:43.323616,8.0,0.2,50.0,32,0.00024131908739515886,224,adam,0.2768424618254827,0.9109562440367938,COMPLETE
110,0.005815086260261866,2024-10-16 14:54:35.446996,2024-10-16 15:15:35.810867,0 days 00:21:00.363871,8.0,0.2,50.0,32,0.00032536516962872354,224,adam,0.3222665518918316,0.9295077230072305,COMPLETE
111,0.00902863711778279,2024-10-16 14:54:36.960321,2024-10-16 15:15:59.600118,0 days 00:21:22.639797,8.0,0.2,50.0,32,0.00025893972766428925,224,adam,0.13794381078259288,0.890552064047063,COMPLETE
112,0.007121327266615054,2024-10-16 14:55:04.839838,2024-10-16 15:16:38.530807,0 days 00:21:33.690969,8.0,0.2,50.0,32,0.00024992616057348515,224,adam,0.2670661105531355,0.913673064892457,COMPLETE
113,0.005644032399028533,2024-10-16 14:55:25.537609,2024-10-16 15:16:30.356098,0 days 00:21:04.818489,8.0,0.2,50.0,32,0.00026478163683664994,224,adam,0.3770124351287301,0.9315812909006498,COMPLETE
