Year,Iteration,Alloy Name,Al,Co,Cr,Cu,Fe,Mn,Ni,V,VarvYS pred(MPa) at 298K,SFE_calc,VEC Avg,EDS Measured Atomic % Al ,EDS Measured Atomic % Co ,EDS Measured Atomic % Cr ,EDS Measured Atomic % Cu,EDS Measured Atomic % Fe ,EDS Measured Atomic % Mn,EDS Measured Atomic % Ni ,EDS Measured Atomic % V ,"Hardness, HV","SD, HV",Yield Strength (MPa),"SD, YS",UTS_True (Mpa),"SD, UTS",UTS/YS,"SD, UTS/YS",Elong_T (%),"SD, Elong%",Hardness (GPa) SRJT,"SD, Hardness",Modulus (GPa) SRJT,"SD, Modulus",Avg Hdyn (GPa) HSR,"SD, Avg Hdyn",Avg Hqs (GPa) HSR,"SD, Avg Hqs",Avg HDYN/HQS,"Std, Hdyn/Hqs",Indentation Depth (µm),Depth of Penetration (mm) FE_Sim,Grain Size (µm),Cracked,Processing,Recrystallization,XRD Phase,Tension Test Designation,Grain Size(um),Notes
1,AAC,AAC12,0,35,15,0,5,0,20,25,371.290979,92.1,525.0,,,,,,,,,491.9,49.4,790.0,0.0,790.0,0.0,1.0,0.0,0.0,0.0,6.04,1.37,223.68,12.55,,,,,,,,,,1.0,Forged,No Treatment,D022 ,Brittle,,
1,AAE,AAE07,0,15,20,0,15,0,40,10,243.8177625,33.1,720.0,0,15.1,21.2,0.0,14.9,0.0,38.1,10.7,196.7,7.2,431.0,1.5,895.0,6.5,2.08,0.03,32.0,0.0,2.43,0.15,196.74,11.87,,,,,,,,,,0.0,Forged,No Treatment,FCC,Ductile,,
2,BAA,BAA16,4,12,0,12,20,8,44,0,322.7523249,118.0,824.0,3.9,12.2,0,11.9,20.3,8.4,43.2,0,132.7,5.3,212.6,0.7,791.6,30.6,3.7,0.1,39.0,2.6,1.79,0.04,170.41,5.59,2.23,0.05,1.98,0.05,1.13,0.04,,3.25,,0.0,Forged,925C for 30min/ water quench,FCC,,29.0,
2,BAA,BAA04,0,12,8,4,16,20,36,4,156.6231368,133.0,764.0,0,11.8,8.1,4.1,15.9,20.5,35.4,4,144.9,4.4,271.2,0.0,906.0,29.7,3.3,0.1,39.1,1.8,1.91,0.05,183.07,9.25,2.29,0.03,2.1,0.06,1.09,0.03,,3.01,,0.0,Forged,925C for 30min/ water quench,FCC,,15.0,
2,BBC,BBC01,4,12,4,4,20,16,32,8,,178.6,,4,12.2,4.2,4.0,20.1,16.0,31.4,8.2,132.3,4.0,254.6,2.3,1069.3,28.1,4.2,0.1,51.8,0.4,2.13,0.16,162.29,8.36,2.36,0.09,2.02,0.07,1.17,0.05,,2.96,,,Cold Rolled,950C for 30min/ water quench,FCC,,25.8,
2,BBC,BBC02,4,8,0,0,4,8,52,24,,351.42,,4,8.2,,,4.1,8.0,51.2,24.4,199.9,11.0,449.1,0.9,1462.7,40.8,3.3,0.1,48.4,2.0,2.63,0.13,191.23,7.05,3.1,0.1,2.66,0.12,1.16,0.05,,2.44,,,Cold Rolled,950C for 30min/ water quench,FCC,,14.7,
2,BAA,BAA10,4,0,4,0,20,8,52,12,407.4644681,293.4,832.0,4.3,0,4.2,0.0,20.1,8.1,51,12.3,160.8,13.1,304.8,1.9,950.9,27.3,3.1,0.1,40.0,1.1,2.18,0.03,181.2,13.16,2.55,0.06,2.38,0.06,1.07,0.04,,2.92,,0.0,Forged,925C for 30min/ water quench,FCC,,18.0,
1,AAA,AAA09,5,0,5,0,25,0,60,5,425.7082281,81.81,870.0,5.5 ,0 ,5.2 ,0.0,25.5 ,0.0,58.6 ,5.3 ,195.5,9.2,331.0,29.2,782.0,24.5,2.36,0.18,40.1,3.3,2.31,0.09,178.43,2.68,,,,,,,,,,0.0,Forged,No Treatment,FCC,Ductile,,
1,AAA,AAA14,0,25,10,0,5,0,35,25,366.0800116,177.3,625.0,0 ,24.9 ,10.1 ,0.0,5.0 ,0.0,34.8 ,25.2 ,296.2,2.6,601.0,17.4,1144.0,32.8,1.9,0.08,29.9,0.9,3.4,0.29,198.66,5.95,,,,,,,,,,0.0,Forged,No Treatment,FCC,Ductile,,
2,BBC,BBC06,4,28,4,0,4,4,44,12,,120.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cold Rolled,950C for 30min/ water quench,,,,
2,BBB,BBB08,4,8,12,4,4,24,40,4,413.9017845,216.99,764.0,3.8,8,12.3,4.2,4.1,24.0,39.4,4.1,143.2,3.0,282.4,1.6,1143.1,11.7,4.1,0.1,54.6,0.5,2.08,0.03,171.77,7.72,2.4,0.05,2.1,0.1,1.14,0.06,,2.9,,0.0,Cold Rolled,950C for 30min/ water quench,FCC,,40.11,
1,AAA,AAA04,0,25,10,0,20,0,40,5,173.2094365,1.64,695.0,0 ,25.2 ,10.4 ,0.0,20.2 ,0.0,39.0 ,5.2 ,187.0,10.1,383.0,33.5,621.0,50.2,1.62,0.18,19.5,0.3,2.31,0.13,189.31,6.19,,,,,,,,,,0.0,Forged,No Treatment,FCC,Ductile,,
1,AAB,AAB02,0,5,0,0,75,0,20,0,52.69286578,-519.41,810.0,0,5.1,0,0.0,75,0.0,19.9,0,235.1,5.0,610.0,30.8,798.0,11.1,1.31,0.07,3.6,0.4,2.53,0.07,157.73,6.21,,,,,,,,,,1.0,Forged,No Treatment,BCC ,Ductile,,
1,AAC,AAC07,0,45,5,0,15,0,25,10,241.6991009,-99.0,540.0,0 ,45.0 ,5.1 ,0.0,15.2 ,0.0,24.7 ,9.9 ,216.0,8.1,357.0,1.4,671.0,36.7,1.88,0.1,26.6,2.4,2.58,0.13,196.42,5.74,,,,,,,,,,0.0,Forged,No Treatment,FCC,Ductile,,
1,AAE,AAE09,0,25,0,0,35,0,35,5,157.4524677,407.7,705.0,0,25.6,0,0.0,36,0.0,33.3,5.2,160.0,9.5,305.0,0.4,557.0,26.5,1.83,0.09,20.0,1.8,1.8,0.06,162.96,4.45,,,,,,,,,,0.0,Forged,No Treatment,FCC,Ductile,,
2,BBB,BBB14,4,0,12,16,4,12,52,0,735.0220013,147.37,896.0,4.4,0,12.1,15.7,4.1,12.4,51.3,0,138.3,2.2,269.7,3.7,1062.7,15.9,3.9,0.1,51.5,1.9,1.99,0.06,182.28,6.22,2.33,0.06,2.01,0.08,1.16,0.06,,2.96,,0.0,Cold Rolled,950C for 30min/ water quench,FCC,,47.41,
1,AAA,AAA07,0,55,10,0,10,0,15,10,254.5196106,-124.99,450.0,0 ,54.7 ,10.3 ,0.0,10.1 ,0.0,14.6 ,10.3 ,259.2,15.5,606.0,29.1,952.0,7.9,1.57,0.09,24.9,1.1,2.88,0.16,197.23,6.66,,,,,,,,,,0.0,Forged,No Treatment,FCC,Ductile,,
2,BBA,BBA14,0,16,8,4,16,20,36,0,108.1028714,75.5,752.0,0,16.1,8.2,4.0,16,20.3,35.3,0,132.1,2.4,259.4,3.4,953.9,46.1,3.7,0.2,41.4,2.4,2.05,0.14,229.87,15.37,2.34,0.09,2.0,0.06,1.17,0.06,,3.02,,0.0,Cold Rolled,950C for 30min/ water quench,FCC,,34.3,
2,BBA,BBA05,4,12,8,0,8,8,56,4,388.7773503,204.2,784.0,4.1,12.2,8.2,0.0,8.2,8.0,55.2,4.1,157.8,3.7,313.1,5.7,1160.3,15.9,3.7,0.1,47.8,0.9,2.3,0.17,180.26,13.33,2.54,0.09,2.28,0.17,1.12,0.09,,2.79,,0.0,Cold Rolled,950C for 30min/ water quench,FCC,,38.83,
1,AAA,AAA03,0,30,5,0,30,0,20,15,275.6920066,-58.22,605.0,0 ,29.8 ,5.3 ,0.0,30.1 ,0.0,19.5 ,15.3 ,227.2,8.7,427.0,14.1,721.0,20.9,1.69,0.07,22.1,1.9,2.4,0.12,189.61,8.42,,,,,,,,,,0.0,Forged,No Treatment,FCC,Ductile,,
1,AAD,AAD16,0,35,20,0,10,0,15,20,337.8624475,61.9,520.0,,,,,,,,,546.0,21.6,460.0,0.0,462.0,0.0,1.0,0.0,0.0,0.0,5.22,0.64,208.46,8.66,,,,,,,,,,1.0,Forged,No Treatment,FCC + FCC,Brittle,,
1,AAD,AAD07,0,20,10,0,10,0,45,15,292.5769617,37.4,705.0,0,20.1,10.6,0.0,10.1,0.0,43.2,15.9,204.2,15.9,443.0,9.4,986.0,50.7,2.23,0.12,34.0,2.7,2.93,0.1,219.29,9.71,,,,,,,,,,0.0,Forged,No Treatment,FCC,Ductile,,
2,BBB,BBB09,0,4,8,0,4,28,40,16,557.042555,301.69,764.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,Cold Rolled,950C for 30min/ water quench,FCC+σ,,,
1,AAD,AAD03,0,5,5,0,30,0,45,15,261.1804501,19.5,805.0,0,5.3,5.3,0.0,30.4,0.0,43.2,15.8,183.9,5.7,361.0,13.6,842.0,37.3,2.33,0.14,34.0,2.1,2.38,0.06,211.23,5.84,,,,,,,,,,0.0,Forged,No Treatment,FCC,Ductile,,
2,BBA,BBA17,4,0,4,4,16,12,56,4,391.189585,91.81,872.0,4.2,0.0,4.2,4.1,16.3,12.1,55.0,4.1,156.5,3.2,310.2,8.3,1057.5,16.0,3.4,0.1,42.0,3.1,2.14,0.09,189.54,12.07,2.51,0.08,2.2,0.12,1.14,0.07,,2.85,,0.0,Cold Rolled,950C for 30min/ water quench,FCC,,26.0,
1,AAC,AAC15,5,5,5,0,20,0,50,15,472.4146152,119.9,790.0,5.5 ,4.9 ,5.0 ,0.0,20.2 ,0.0,49.4 ,15.1 ,286.1,8.8,542.0,30.2,1006.0,62.9,1.86,0.16,29.1,2.7,3.35,0.13,209.17,5.74,,,,,,,,,,0.0,Forged,No Treatment,FCC,Ductile,,
2,BBA,BBA18,0,4,8,4,16,20,44,4,258.4414693,52.56,828.0,0.0,4.1,8.2,4.1,16.1,20.2,43.3,4.1,132.3,2.5,267.0,,1019.4,,3.8,,46.7,,2.06,0.14,199.98,12.26,2.16,0.09,1.84,0.06,1.17,0.06,,2.94,,0.0,Cold Rolled,950C for 30min/ water quench,FCC,,41.0,
1,AAD,AAD14,0,15,15,0,15,0,40,15,286.9361868,74.3,715.0,0,15.1,15.8,0.0,14.9,0.0,38.4,15.8,220.5,15.9,459.0,46.7,931.0,70.6,2.03,0.26,30.0,0.2,2.57,0.22,206.84,7.48,,,,,,,,,,0.0,Forged,No Treatment,FCC,Ductile,,
2,BBC,BBC14,0,12,4,0,4,16,40,24,,383.92,,,12.1,4.1,,4.3,16.1,39,24.5,198.1,12.4,406.4,7.4,1293.4,4.5,3.2,0.1,39.6,2.2,2.54,0.27,192.43,6.65,3.14,0.26,2.69,0.34,1.17,0.14,,2.51,,,Cold Rolled,950C for 30min/ water quench,FCC+σ,,20.1,
1,AAE,AAE16,0,30,0,0,15,0,50,5,148.4222272,412.1,705.0,0,30.9,0,0.0,15.6,0.0,48.4,5.2,177.1,15.4,339.0,10.9,620.0,11.2,1.83,0.1,22.0,1.7,1.92,0.03,188.44,2.22,,,,,,,,,,0.0,Forged,No Treatment,FCC,Ductile,,
1,AAD,AAD12,0,20,15,0,0,0,35,30,386.2269491,266.2,630.0,,,,,,,,,525.6,8.5,559.0,0.0,561.0,0.0,1.0,0.0,0.0,0.0,5.96,1.08,207.91,16.42,,,,,,,,,,1.0,Forged,No Treatment,FCC + FCC,Brittle,,
2,BAA,BAA12,0,0,8,4,16,12,52,8,195.7659695,296.4,864.0,0,0,8.2,4.2,16,12.4,51.1,8.2,149.5,5.0,264.8,3.2,945.9,2.8,3.6,0.0,43.1,1.1,1.93,0.07,187.31,7.28,2.32,0.11,2.11,0.03,1.1,0.05,,2.99,,0.0,Forged,925C for 30min/ water quench,FCC,,23.0,
1,AAC,AAC10,0,10,20,0,5,0,60,5,182.6807328,50.3,805.0,0 ,10.3 ,20.4 ,0.0,5.1 ,0.0,59.2 ,5.1 ,198.7,6.9,397.0,0.2,734.0,10.6,1.85,0.03,22.4,0.4,2.58,0.16,202.88,4.45,,,,,,,,,,0.0,Forged,No Treatment,FCC,Ductile,,
1,AAD,AAD11,0,20,10,0,5,0,40,25,363.0869922,220.2,665.0,0,19.8,10.5,0.0,4.9,0.0,38.5,26.3,285.0,12.6,590.0,80.5,1274.0,41.1,2.16,0.3,32.0,3.7,3.41,0.31,199.81,9.61,,,,,,,,,,0.0,Forged,No Treatment,FCC,Ductile,,
2,BAA,BAA11,0,16,0,4,20,20,28,12,223.1039347,258.3,716.0,0,15.9,0,4.1,19.3,20.4,27.9,12.4,166.0,3.4,256.1,0.0,515.8,0.0,2.0,0.0,16.8,0.0,2.03,0.1,178.26,6.77,2.4,0.06,2.13,0.06,1.13,0.04,,3.38,,0.0,Forged,925C for 30min/ water quench,FCC,,20.0,
1,AAD,AAD01,0,30,10,0,10,0,30,20,335.5917857,47.1,600.0,0,29.6,10.6,0.0,9.9,0.0,28.6,21.2,234.4,9.6,625.0,0.0,1221.0,0.0,1.95,0.0,31.0,0.0,3.37,0.32,203.35,7.86,,,,,,,,,,0.0,Forged,No Treatment,FCC,Ductile,,
2,BAA,BAA09,4,16,8,0,12,0,48,12,447.1938071,54.1,728.0,4,16.2,8.2,0.0,12.2,0.0,47.1,12.2,191.0,8.6,444.3,3.8,1180.3,43.8,2.7,0.1,41.6,2.7,2.64,0.07,212.29,7.68,3.1,0.1,2.88,0.07,1.08,0.04,,2.56,,0.0,Forged,925C for 30min/ water quench,FCC,,26.0,
2,BBA,BBA12,0,0,8,4,16,12,52,8,195.7659695,296.4,864.0,0,0,8.3,4.1,16.1,12.3,51.2,8,148.0,8.8,316.0,8.5,1101.1,40.0,3.5,0.2,43.5,0.8,2.25,0.08,234.5,8.81,2.52,0.12,2.2,0.09,1.14,0.07,,2.82,,0.0,Cold Rolled,950C for 30min/ water quench,FCC,,32.26,
1,AAB,AAB06,0,30,20,0,5,0,40,5,191.1275556,-16.78,645.0,0 ,29.9 ,20.5 ,0.0,5.1 ,0.0,39.3 ,5.1 ,226.0,8.4,508.0,89.3,857.0,57.5,1.69,0.39,24.4,2.9,2.6,0.09,206.43,3.01,,,,,,,,,,0.0,Forged,No Treatment,FCC,Ductile,,
1,AAD,AAD10,0,5,5,0,30,0,55,5,156.4381732,75.2,855.0,0,5.4,5.4,0.0,30.9,0.0,53.1,5.3,176.3,12.7,308.0,27.0,620.0,28.7,2.01,0.2,23.0,0.2,2.15,0.13,196.61,7.25,,,,,,,,,,0.0,Forged,No Treatment,FCC,Ductile,,
1,AAE,AAE12,5,5,0,0,40,0,45,5,407.6009793,472.4,820.0,3.9,5.6,0,0.0,42.2,0.0,42.8,5.5,150.2,7.2,477.0,0.3,1062.0,26.6,2.23,0.05,34.0,1.7,2.69,0.07,211.67,4.99,,,,,,,,,,0.0,Forged,No Treatment,FCC,Ductile,,
1,AAC,AAC01,0,15,25,0,5,0,50,5,192.6929684,29.1,745.0,0 ,15.1 ,25.2 ,0.0,5.1 ,0.0,49.6 ,5.1 ,245.6,13.9,503.0,24.9,854.0,52.2,1.7,0.13,22.5,1.0,2.82,0.17,213.37,5.78,,,,,,,,,,0.0,Forged,No Treatment,FCC,Ductile,,
2,BBC,BBC11,4,12,4,4,12,16,36,12,,234.32,,4.3,12.2,4.2,3.9,12.2,15.9,35.1,12.3,155.7,2.8,290.1,2.5,1098.1,46.0,3.8,0.2,48.4,3.9,2.08,0.15,179.43,11.34,2.61,0.06,2.16,0.13,1.21,0.05,,2.86,,,Cold Rolled,950C for 30min/ water quench,FCC,,21.1,
1,AAC,AAC06,0,25,20,0,10,0,35,10,253.5297866,7.6,650.0,0 ,24.9 ,20.3 ,0.0,10.1 ,0.0,34.4 ,10.2 ,224.5,18.0,460.0,16.8,932.0,15.9,2.03,0.08,32.6,1.9,2.73,0.1,213.93,5.68,,,,,,,,,,0.0,Forged,No Treatment,FCC,Ductile,,
2,BBC,BBC07,4,32,4,0,0,4,44,12,,106.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cold Rolled,950C for 30min/ water quench,,,,
1,AAA,AAA02,0,30,10,0,5,0,45,10,244.4242487,-19.13,660.0,0 ,30.2 ,10.4 ,0.0,5.2 ,0.0,43.9 ,10.4 ,257.4,16.0,537.0,11.0,829.0,43.3,1.54,0.09,20.8,1.7,2.85,0.34,195.4,9.1,,,,,,,,,,0.0,Forged,No Treatment,FCC,Ductile,,
1,AAD,AAD05,0,40,25,0,10,0,20,5,203.7096246,-85.3,535.0,0,39.2,26.2,0.0,10,0.0,19.2,5.3,284.0,9.9,502.0,24.0,996.0,30.3,1.98,0.11,32.0,2.5,2.77,0.08,215.81,7.71,,,,,,,,,,0.0,Forged,No Treatment,FCC,Ductile,,
2,BBB,BBB16,4,36,0,0,4,4,40,12,510.6148911,78.47,604.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,Cold Rolled,950C for 30min/ water quench,FCC,,,
2,BBA,BBA08,0,24,8,0,12,16,32,8,215.3815047,165.8,664.0,0,22.9,8.1,0.0,12.2,16.0,32.7,8.1,135.8,5.9,270.2,2.3,1049.1,25.2,3.9,0.1,45.4,1.5,2.3,0.17,163.61,8.44,2.62,0.08,2.27,0.12,1.15,0.07,,2.93,,0.0,Cold Rolled,950C for 30min/ water quench,FCC,,33.91,
2,BBA,BBA04,0,12,8,4,16,20,36,4,156.6231368,133.0,764.0,,,,,,,,,143.2,4.6,,,,,,,,,,,,,,,,,,,,,,0.0,Cold Rolled,950C for 30min/ water quench,,,40.57,"Sample Remade due to chemistry issues, failed to give good tension samples"
2,BBB,BBB02,4,32,8,4,4,20,24,4,409.1121051,137.19,600.0,4.2,30.4,8.2,4.1,4.1,20.1,24.7,4.1,157.9,6.4,311.4,3.1,1127.0,11.7,3.6,0.1,48.8,0.5,2.22,0.08,195.91,8.51,2.7,0.09,2.32,0.06,1.16,0.05,,2.84,,0.0,Cold Rolled,950C for 30min/ water quench,FCC,,40.59,
2,BAA,BAA08,0,24,8,0,12,16,32,8,215.3815047,165.8,664.0,0,23.8,8.3,0.0,12.2,16.3,31.5,8.2,145.9,5.5,270.7,4.3,957.6,3.6,3.5,0.1,40.3,0.2,1.96,0.05,193.2,7.63,3.09,0.1,2.47,0.08,1.25,0.06,,2.94,,0.0,Forged,925C for 30min/ water quench,FCC,,20.0,
1,AAE,AAE11,0,20,10,0,0,0,45,25,370.6097422,723.5,675.0,0,20,10.4,0.0,0,0.0,43.5,26.2,248.9,26.1,615.0,18.1,1256.0,70.8,2.04,0.06,36.0,0.2,3.0,0.24,211.02,6.83,,,,,,,,,,0.0,Forged,No Treatment,FCC,Ductile,,
2,BBB,BBB07,4,40,0,0,12,4,36,4,220.1686842,26.04,596.0,4,39.1,0,0.0,12.3,3.9,36.7,4,125.0,5.6,211.4,3.5,900.6,1.3,4.3,0.1,45.3,0.6,1.75,0.03,189.59,9.7,2.22,0.13,1.88,0.12,1.18,0.1,,3.16,,0.0,Cold Rolled,950C for 30min/ water quench,FCC,,48.77,
2,BBC,BBC16,4,28,4,0,8,0,40,16,,40.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cold Rolled,950C for 30min/ water quench,,,,
1,AAB,AAB05,0,25,5,0,10,0,50,10,233.5765555,-4.9,710.0,0 ,25.1 ,5.1 ,0.0,10.1 ,0.0,49.6 ,10.1 ,200.3,6.8,332.0,55.5,634.0,6.7,1.91,0.32,28.7,4.6,2.35,0.02,201.05,8.11,,,,,,,,,,0.0,Forged,No Treatment,FCC,Ductile,,
1,AAE,AAE08,0,40,5,0,15,0,20,20,333.216789,-63.8,530.0,0,39.6,5.3,0.0,15.1,0.0,19.2,20.8,289.8,11.2,518.0,46.5,1325.0,64.3,2.56,0.1,21.0,1.9,3.42,0.13,234.77,3.79,,,,,,,,,,0.0,Forged,No Treatment,L12,Ductile,,
2,BBA,BBA11,0,16,0,4,20,20,28,12,223.1039347,258.3,716.0,0,16.1,0,4.0,20.1,20.3,27.4,12,154.4,4.1,348.8,,1070.6,,3.1,,38.6,,2.23,0.15,174.17,5.95,2.5,0.1,2.13,0.04,1.17,0.05,,2.72,,0.0,Cold Rolled,950C for 30min/ water quench,FCC,,17.69,
1,AAA,AAA15,5,0,5,0,45,0,45,0,372.6474182,176.36,855.0,4.9 ,0 ,5.4 ,0.0,45.5 ,0.0,44.2 ,0 ,172.2,7.2,253.0,22.1,492.0,37.0,1.94,0.2,23.3,2.8,1.96,0.04,168.34,1.84,,,,,,,,,,0.0,Forged,No Treatment,FCC,Ductile,,
2,BAA,BAA13,4,20,4,4,16,0,52,0,345.9032675,36.5,768.0,4.2,20.6,4.2,4.4,16.7,0.0,50,0,143.6,11.0,210.1,12.6,761.3,4.2,3.6,0.2,35.7,1.5,1.9,0.04,195.54,10.54,2.24,0.08,1.99,0.09,1.13,0.06,,3.21,,0.0,Forged,925C for 30min/ water quench,FCC,,32.0,
2,BBA,BBA07,4,12,0,0,16,8,52,8,400.648516,250.0,780.0,5,12.3,0,0.0,16.2,7.9,50.5,8.1,187.1,8.4,410.3,,1259.2,,3.1,,40.6,,2.66,0.18,251.53,11.89,3.04,0.11,2.68,0.13,1.13,0.07,,2.56,,0.0,Cold Rolled,950C for 30min/ water quench,FCC,,25.5,
