Year,Al,Co,Cr,Cu,Fe,Mn,Ni,V,VarvYS pred(MPa) at 298K,SFE_calc,VEC Avg,EDS Measured Atomic % Al,EDS Measured Atomic % Co,EDS Measured Atomic % Cr,EDS Measured Atomic % Cu,EDS Measured Atomic % Fe,EDS Measured Atomic % Mn,EDS Measured Atomic % Ni,EDS Measured Atomic % V,"Hardness, HV","SD, HV",Yield Strength (MPa),"SD, YS",UTS_True (Mpa),"SD, UTS",UTS/YS,"SD, UTS/YS",Elong_T (%),"SD, Elong%",Hardness (GPa) SRJT,"SD, Hardness",Modulus (GPa) SRJT,"SD, Modulus",Avg Hdyn (GPa) HSR,"SD, Avg Hdyn",Avg Hqs (GPa) HSR,"SD, Avg Hqs",Avg HDYN/HQS,"Std, Hdyn/Hqs",Depth of Penetration (mm) FE_Sim,Cracked,Cold Work (%Reduction),Holding time (h),Grain Size(um)
1,0,45.0,10,0,20.0,0,15.0,10,248.2045892639757,-85.32839206893681,5.1,0.0,44.4,10.4,0.0,20.3,0.0,14.5,10.3,225.8,5.6,487.0,14.8,839.0,5.9,1.72,0.05,25.7,2.6,2.62,0.12,190.02,11.79,,,,,,,,0.0,,,
1,0,30.0,10,0,5.0,0,45.0,10,244.4242486557814,-19.13421194033971,6.600000000000001,0.0,30.2,10.4,0.0,5.2,0.0,43.9,10.4,257.4,16.0,537.0,11.0,829.0,43.3,1.54,0.09,20.8,1.7,2.85,0.34,195.4,9.1,,,,,,,,0.0,,,
1,0,30.0,5,0,30.0,0,20.0,15,275.6920066033588,-58.21776964085162,6.050000000000001,0.0,29.8,5.3,0.0,30.1,0.0,19.5,15.3,227.2,8.7,427.0,14.1,721.0,20.9,1.69,0.07,22.1,1.9,2.4,0.12,189.61,8.42,,,,,,,,0.0,,,
1,0,25.0,10,0,20.0,0,40.0,5,173.2094365490373,1.640264563490415,6.949999999999999,0.0,25.2,10.4,0.0,20.2,0.0,39.0,5.2,187.0,10.1,383.0,33.5,621.0,50.2,1.62,0.18,19.5,0.3,2.31,0.13,189.31,6.19,,,,,,,,0.0,,,
1,0,10.0,10,0,55.0,0,25.0,0,77.58102446893048,11.38838262674635,7.7,0.0,10.1,10.6,0.0,54.8,0.0,24.5,0.0,149.5,4.2,310.0,12.3,446.0,2.6,1.44,0.05,18.3,0.9,1.82,0.04,161.94,4.18,,,,,,,,0.0,,,
1,0,35.0,25,0,5.0,0,30.0,5,202.0427934898094,-46.08663054308739,5.85,0.0,34.9,25.6,0.0,5.0,0.0,29.3,5.2,263.2,13.8,650.0,66.1,974.0,22.7,1.5,0.19,20.5,3.3,2.9,0.19,199.06,15.24,,,,,,,,0.0,,,
1,0,55.0,10,0,10.0,0,15.0,10,254.5196105913244,-124.9873678212238,4.5,0.0,54.7,10.3,0.0,10.1,0.0,14.6,10.3,259.2,15.5,606.0,29.1,952.0,7.9,1.57,0.09,24.9,1.1,2.88,0.16,197.23,6.66,,,,,,,,0.0,,,
1,0,10.0,10,0,25.0,0,50.0,5,166.3823782483187,39.67328974909728,8.05,0.0,10.2,10.5,0.0,25.5,0.0,48.4,5.3,203.9,13.6,447.0,13.5,660.0,13.4,1.48,0.06,14.2,2.7,2.15,0.1,187.18,5.81,,,,,,,,0.0,,,
1,5,0.0,5,0,25.0,0,60.0,5,425.7082280817232,81.80751923674603,8.7,5.5,0.0,5.2,0.0,25.5,0.0,58.6,5.3,195.5,9.2,331.0,29.2,782.0,24.5,2.36,0.18,40.1,3.3,2.31,0.09,178.43,2.68,,,,,,,,0.0,,,
1,0,5.0,15,0,5.0,0,70.0,5,171.0651694635452,79.60742700748533,8.65,0.0,5.2,15.5,0.0,5.2,0.0,69.0,5.1,212.0,9.8,376.0,14.4,764.0,27.2,2.03,0.1,28.1,2.1,2.24,0.19,190.61,9.22,,,,,,,,0.0,,,
1,0,15.0,5,0,45.0,0,30.0,5,155.0269203505092,103.0181752127349,7.449999999999999,0.0,15.2,5.2,0.0,45.1,0.0,29.3,5.2,179.6,10.5,364.0,28.6,547.0,17.9,1.5,0.11,11.9,0.7,1.91,0.11,162.1,5.64,,,,,,,,0.0,,,
1,5,15.0,5,0,5.0,0,65.0,5,448.2754879008656,92.669663498732,7.9,5.3,15.2,5.3,0.0,5.2,0.0,63.8,5.1,227.6,5.4,391.0,41.3,622.0,87.4,1.59,0.26,16.7,5.0,2.47,0.07,195.66,3.8,,,,,,,,0.0,,,
1,5,10.0,5,0,25.0,0,50.0,5,430.901597557685,61.48241037047603,7.9,5.0,10.3,5.2,0.0,25.4,0.0,49.0,5.1,207.8,13.7,275.0,56.2,816.0,55.2,2.97,0.37,0.0,8.5,2.32,0.1,167.49,3.85,,,,,,,,0.0,,,
1,0,25.0,10,0,5.0,0,35.0,25,366.0800115787403,177.301891621497,6.25,0.0,24.9,10.1,0.0,5.0,0.0,34.8,25.2,296.2,2.6,601.0,17.4,1144.0,32.8,1.9,0.08,29.9,0.9,3.4,0.29,198.66,5.95,,,,,,,,0.0,,,
1,5,0.0,5,0,45.0,0,45.0,0,372.6474182350056,176.3601013244486,8.549999999999999,4.9,0.0,5.4,0.0,45.5,0.0,44.2,0.0,172.2,7.2,253.0,22.1,492.0,37.0,1.94,0.2,23.3,2.8,1.96,0.04,168.34,1.84,,,,,,,,0.0,,,
1,0,5.0,10,0,10.0,0,55.0,20,321.2962495490132,202.24048061068,8.0,0.0,5.0,10.1,0.0,10.1,0.0,54.7,20.0,255.3,8.2,517.0,52.3,977.0,23.1,1.89,0.17,26.7,0.6,2.88,0.15,194.55,3.9,,,,,,,,0.0,,,
1,0,50.0,10,0,15.0,0,15.0,10,252.0209974649892,-104.7768406598848,4.800000000000001,0.0,49.6,10.2,0.0,15.3,0.0,14.7,10.2,238.1,2.1,539.0,37.4,1038.0,25.5,1.93,0.14,34.6,3.2,2.68,0.03,194.27,2.2,,,,,,,,0.0,,,
1,0,5.0,0,0,75.0,0,20.0,0,52.69286577653632,-519.4125432374044,8.1,0.0,5.1,0.0,0.0,75.0,0.0,19.9,0.0,235.1,5.0,610.0,30.8,798.0,11.1,1.31,0.07,3.6,0.4,2.53,0.07,157.73,6.21,,,,,,,,1.0,,,
1,0,25.0,10,0,35.0,0,25.0,5,170.3134521300121,9.493008740491714,6.65,0.0,24.8,10.2,0.0,35.2,0.0,24.7,5.1,192.7,3.9,363.0,29.6,576.0,20.1,1.59,0.14,17.2,0.2,2.13,0.08,182.41,4.47,,,,,,,,0.0,,,
1,0,25.0,10,0,25.0,0,35.0,5,173.3394581755487,-0.7868104239916054,6.85,0.0,24.9,10.2,0.0,25.2,0.0,34.5,5.1,216.5,5.8,413.0,19.6,676.0,19.3,1.64,0.09,20.1,2.2,2.29,0.05,169.12,4.74,,,,,,,,0.0,,,
1,0,25.0,5,0,10.0,0,50.0,10,233.5765555037703,-4.90099453429014,7.1,0.0,25.1,5.1,0.0,10.1,0.0,49.6,10.1,200.3,6.8,332.0,55.5,634.0,6.7,1.91,0.32,28.7,4.6,2.35,0.02,201.05,8.11,,,,,,,,0.0,,,
1,0,30.0,20,0,5.0,0,40.0,5,191.1275556236543,-16.78417802206404,6.450000000000001,0.0,29.9,20.5,0.0,5.1,0.0,39.3,5.1,226.0,8.4,508.0,89.3,857.0,57.5,1.69,0.39,24.4,2.9,2.6,0.09,206.43,3.01,,,,,,,,0.0,,,
1,0,40.0,15,0,5.0,0,30.0,10,257.0431020185131,-55.60858067297652,5.6,0.0,40.0,15.3,0.0,5.1,0.0,29.5,10.1,253.1,9.2,448.0,24.9,863.0,58.1,1.93,0.16,28.2,5.6,2.78,0.14,199.42,6.6,,,,,,,,0.0,,,
1,0,5.0,10,0,30.0,0,50.0,5,162.3165993342222,48.74626671882295,8.35,0.0,5.1,10.3,0.0,30.2,0.0,49.4,5.1,175.8,2.6,324.0,16.6,604.0,2.4,1.86,0.1,23.4,0.4,2.11,0.12,169.54,7.83,,,,,,,,0.0,,,
1,0,30.0,0,0,30.0,0,35.0,5,158.4312767337166,102.8849270891784,6.75,0.0,29.9,0.0,0.0,30.5,0.0,34.4,5.1,171.6,4.9,347.0,15.7,610.0,8.5,1.76,0.09,20.0,0.5,1.98,0.12,165.27,9.75,,,,,,,,0.0,,,
1,5,20.0,5,0,25.0,0,45.0,0,400.9904628653007,63.06196012914481,7.35,5.1,20.1,5.1,0.0,25.3,0.0,44.3,0.0,160.0,5.5,313.0,32.1,615.0,23.6,1.96,0.23,24.6,2.1,2.11,0.06,174.64,4.08,,,,,,,,0.0,,,
1,0,5.0,20,0,10.0,0,55.0,10,242.7841552270739,79.93969269201396,8.1,0.0,5.0,20.3,0.0,10.2,0.0,54.3,10.2,215.4,9.8,427.0,32.1,886.0,9.2,2.07,0.16,31.5,0.6,2.62,0.2,187.6,9.77,,,,,,,,0.0,,,
1,0,15.0,5,0,20.0,0,40.0,20,312.9648163949832,74.63859721959169,7.199999999999999,0.0,15.0,5.1,0.0,20.2,0.0,39.4,20.4,235.0,7.5,430.0,0.0,986.0,0.0,2.29,0.0,37.0,0.0,2.71,0.24,190.55,4.78,,,,,,,,0.0,,,
1,5,5.0,10,0,35.0,0,45.0,0,389.3162380688181,108.0772995020787,8.15,5.2,5.1,10.2,0.0,35.2,0.0,44.2,0.0,154.5,8.3,250.0,18.1,549.0,33.3,2.2,0.21,27.5,1.0,1.87,0.03,170.22,2.76,,,,,,,,0.0,,,
1,5,10.0,0,0,30.0,0,50.0,5,421.8442395095231,88.48079617050881,8.0,5.3,10.2,0.0,0.0,30.3,0.0,49.0,5.1,159.7,4.1,282.0,7.6,691.0,56.8,2.45,0.21,41.8,3.1,2.25,0.13,172.48,8.06,,,,,,,,0.0,,,
1,5,5.0,10,0,20.0,0,55.0,5,437.0314242985552,61.22736171987175,8.2,4.6,5.1,10.1,0.0,20.3,0.0,55.0,4.9,190.0,5.8,367.0,50.5,759.0,22.2,2.07,0.29,33.8,2.3,2.57,0.13,190.35,7.63,,,,,,,,0.0,,,
1,15,5.0,0,0,15.0,0,65.0,0,722.4830728639016,212.0757800693046,8.25,14.2,5.3,0.0,0.0,15.6,0.0,64.9,0.0,229.4,8.1,299.0,20.9,333.0,8.2,1.11,0.08,1.4,0.4,2.97,0.07,191.26,2.6,,,,,,,,0.0,,,
1,0,15.0,25,0,5.0,0,50.0,5,192.6929683513158,29.11077864887366,7.45,0.0,15.1,25.2,0.0,5.1,0.0,49.6,5.1,245.6,13.9,503.0,24.9,854.0,52.2,1.7,0.13,22.5,1.0,2.82,0.17,213.37,5.78,,,,,,,,0.0,,,
1,0,10.0,5,0,35.0,0,35.0,15,257.1647127604182,-0.2931107025568472,7.55,0.0,10.0,5.0,0.0,35.1,0.0,34.8,15.0,227.7,6.1,391.0,6.0,832.0,10.7,2.13,0.04,29.7,2.5,2.52,0.19,199.87,10.55,,,,,,,,0.0,,,
1,0,40.0,20,0,5.0,0,30.0,5,195.1570119977128,-61.11244867826741,5.65,0.0,40.1,20.2,0.0,5.1,0.0,29.5,5.1,252.4,12.9,461.0,39.4,863.0,22.7,1.87,0.17,26.2,3.7,3.05,0.19,237.02,7.14,,,,,,,,0.0,,,
1,0,45.0,15,0,10.0,0,15.0,15,309.021602361473,-36.63312516801663,4.85,0.0,44.8,15.1,0.0,10.1,0.0,14.8,15.1,295.1,48.1,569.0,17.4,1044.0,3.3,1.83,0.06,29.1,0.5,3.17,0.14,229.63,6.71,,,,,,,,0.0,,,
1,0,75.0,0,0,15.0,0,0.0,10,241.5553432333521,-136.2416343233708,3.2,0.0,74.4,0.0,0.0,15.4,0.0,0.0,10.2,192.5,4.2,382.0,42.9,646.0,33.7,1.69,0.21,27.2,2.8,2.25,0.09,194.7,8.25,,,,,,,,0.0,,,
1,0,25.0,20,0,10.0,0,35.0,10,253.5297865531169,7.550924685098769,6.5,0.0,24.9,20.3,0.0,10.1,0.0,34.4,10.2,224.5,18.0,460.0,16.8,932.0,15.9,2.03,0.08,32.6,1.9,2.73,0.1,213.93,5.68,,,,,,,,0.0,,,
1,0,45.0,5,0,15.0,0,25.0,10,241.6991008937437,-98.98373461423577,5.4,0.0,45.0,5.1,0.0,15.2,0.0,24.7,9.9,216.0,8.1,357.0,1.4,671.0,36.7,1.88,0.1,26.6,2.4,2.58,0.13,196.42,5.74,,,,,,,,0.0,,,
1,0,30.0,10,0,15.0,0,30.0,15,293.4822157693557,-26.32714843028499,6.15,0.0,29.8,10.1,0.0,15.2,0.0,29.6,15.2,218.6,11.5,444.0,2.4,966.0,7.5,2.18,0.02,33.8,0.7,2.83,0.16,225.0,6.72,,,,,,,,0.0,,,
1,5,10.0,5,0,20.0,0,55.0,5,435.8880452670821,67.29934347482725,8.0,5.2,10.0,5.1,0.0,20.3,0.0,54.2,5.1,200.3,9.4,366.0,8.2,804.0,29.2,2.2,0.09,38.4,4.5,2.67,0.18,209.96,5.85,,,,,,,,0.0,,,
1,0,10.0,20,0,5.0,0,60.0,5,182.6807328230935,50.32305476044827,8.05,0.0,10.3,20.4,0.0,5.1,0.0,59.2,5.1,198.7,6.9,397.0,0.2,734.0,10.6,1.85,0.03,22.4,0.4,2.58,0.16,202.88,4.45,,,,,,,,0.0,,,
1,0,10.0,5,0,5.0,0,50.0,30,374.9055941274212,360.939933873907,7.4,0.0,10.0,5.0,0.0,5.0,0.0,49.5,30.5,281.5,40.4,637.0,10.0,1115.0,24.3,1.75,0.05,25.0,0.4,3.32,0.23,200.47,3.31,,,,,,,,0.0,,,
1,0,35.0,15,0,5.0,0,20.0,25,371.2909790241561,92.07941885491358,5.25,0.0,12.55,12.6,0.0,5.05,0.0,46.95,22.9,491.9,49.4,790.0,0.0,790.0,0.0,1.0,0.0,0.0,0.0,6.04,1.37,223.68,12.55,,,,,,,,1.0,,,
1,0,15.0,20,0,5.0,0,45.0,15,299.8907032427307,120.4648167063556,7.15,0.0,15.1,20.2,0.0,5.1,0.0,44.4,15.3,258.8,9.7,551.0,11.1,1060.0,31.1,1.92,0.07,31.0,0.6,2.96,0.25,207.29,9.81,,,,,,,,0.0,,,
1,0,15.0,5,0,15.0,0,40.0,25,344.4982673788937,195.9614395602805,7.050000000000001,0.0,15.0,5.0,0.0,15.1,0.0,39.5,25.4,264.9,14.8,541.0,19.0,1136.0,8.1,2.1,0.08,33.7,2.6,3.32,0.27,199.57,11.75,,,,,,,,0.0,,,
1,5,5.0,5,0,20.0,0,50.0,15,472.4146152243522,119.9331185090426,7.899999999999999,5.5,4.9,5.0,0.0,20.2,0.0,49.4,15.1,286.1,8.8,542.0,30.2,1006.0,62.9,1.86,0.16,29.1,2.7,3.35,0.13,209.17,5.74,,,,,,,,0.0,,,
1,0,25.0,15,0,5.0,0,35.0,20,340.2266634331817,118.4894388519356,6.300000000000001,0.0,24.9,15.2,0.0,5.2,0.0,34.3,20.4,274.5,9.4,613.0,26.5,1197.0,57.8,1.95,0.13,31.8,1.1,3.29,0.32,209.59,10.0,,,,,,,,0.0,,,
1,0,30.0,10,0,10.0,0,30.0,20,335.5917857189924,47.0720601538439,6.0,0.0,29.6,10.6,0.0,9.9,0.0,28.6,21.2,234.4,9.6,625.0,0.0,1221.0,0.0,1.95,0.0,31.0,0.0,3.37,0.32,203.35,7.86,,,,,,,,0.0,,,
1,0,40.0,5,0,15.0,0,15.0,25,359.5723946411356,-3.01632930160361,5.050000000000001,0.0,39.4,5.3,0.0,14.9,0.0,14.3,26.1,287.7,12.9,551.0,29.1,1504.0,11.3,2.73,0.14,24.0,1.1,3.82,0.25,234.03,14.27,,,,,,,,0.0,,,
1,0,5.0,5,0,30.0,0,45.0,15,261.1804501349519,19.46769007169959,8.05,0.0,5.3,5.3,0.0,30.4,0.0,43.2,15.8,183.9,5.7,361.0,13.6,842.0,37.3,2.33,0.14,34.0,2.1,2.38,0.06,211.23,5.84,,,,,,,,0.0,,,
1,0,20.0,5,0,25.0,0,35.0,15,275.7386381017764,-32.47571489133248,6.95,0.0,20.2,5.3,0.0,25.2,0.0,33.5,15.8,190.2,10.9,391.0,15.7,822.0,28.5,2.1,0.11,30.0,0.2,2.3,0.02,210.99,4.84,,,,,,,,0.0,,,
1,0,40.0,25,0,10.0,0,20.0,5,203.70962460329,-85.30345653319407,5.35,0.0,39.2,26.2,0.0,10.0,0.0,19.2,5.3,284.0,9.9,502.0,24.0,996.0,30.3,1.98,0.11,32.0,2.5,2.77,0.08,215.81,7.71,,,,,,,,0.0,,,
1,0,35.0,15,0,10.0,0,25.0,15,303.7173840881812,-7.488784083936082,5.649999999999999,0.0,34.5,15.7,0.0,10.0,0.0,24.0,15.8,230.7,10.1,521.0,20.2,1042.0,31.8,2.0,0.1,30.0,0.8,2.94,0.16,217.91,9.92,,,,,,,,0.0,,,
1,0,20.0,10,0,10.0,0,45.0,15,292.5769617163763,37.35511968470184,7.05,0.0,20.1,10.6,0.0,10.1,0.0,43.2,15.9,204.2,15.9,443.0,9.4,986.0,50.7,2.23,0.12,34.0,2.7,2.93,0.1,219.29,9.71,,,,,,,,0.0,,,
1,0,25.0,25,0,15.0,0,25.0,10,250.7808665221859,3.233992022860055,6.2,0.0,24.7,26.2,0.0,14.7,0.0,23.9,10.6,239.7,11.1,491.0,5.9,945.0,15.1,1.92,0.04,29.0,1.5,2.77,0.15,216.71,4.13,,,,,,,,0.0,,,
1,0,15.0,15,0,5.0,0,45.0,20,334.3644540244707,185.8450179060361,7.100000000000001,0.0,15.0,15.8,0.0,4.9,0.0,43.3,21.0,235.1,16.8,525.0,8.3,1142.0,119.4,2.18,0.23,35.0,5.1,2.95,0.05,212.65,2.59,,,,,,,,0.0,,,
1,0,5.0,5,0,30.0,0,55.0,5,156.4381732125664,75.18403044540035,8.55,0.0,5.4,5.4,0.0,30.9,0.0,53.1,5.3,176.3,12.7,308.0,27.0,620.0,28.7,2.01,0.2,23.0,0.2,2.15,0.13,196.61,7.25,,,,,,,,0.0,,,
1,0,20.0,10,0,5.0,0,40.0,25,363.0869921976011,220.211782232461,6.65,0.0,19.8,10.5,0.0,4.9,0.0,38.5,26.3,285.0,12.6,590.0,80.5,1274.0,41.1,2.16,0.3,32.0,3.7,3.41,0.31,199.81,9.61,,,,,,,,0.0,,,
1,0,20.0,15,0,0.0,0,35.0,30,386.2269490595816,266.2216946277442,6.3,1.55,15.100000000000001,5.25,0.0,5.050000000000001,0.0,46.6,26.450000000000003,525.6,8.5,559.0,0.0,561.0,0.0,1.0,0.0,0.0,0.0,5.96,1.08,207.91,16.42,,,,,,,,1.0,,,
1,5,10.0,0,0,5.0,0,55.0,25,512.047065973395,257.7033085960359,7.5,3.1,10.4,0.0,0.0,5.2,0.0,54.7,26.6,271.6,11.4,669.0,0.0,1164.0,0.0,1.74,0.0,26.0,0.0,3.48,0.27,205.0,7.83,,,,,,,,0.0,,,
1,0,15.0,15,0,15.0,0,40.0,15,286.9361867832045,74.30366048624921,7.15,0.0,15.1,15.8,0.0,14.9,0.0,38.4,15.8,220.5,15.9,459.0,46.7,931.0,70.6,2.03,0.26,30.0,0.2,2.57,0.22,206.84,7.48,,,,,,,,0.0,,,
1,0,25.0,5,0,10.0,0,35.0,25,358.3455934397506,139.6746239159131,6.35,0.0,24.9,5.3,0.0,10.0,0.0,33.7,26.1,271.6,14.0,614.0,5.9,1311.0,3.3,2.14,0.02,37.0,1.3,3.02,0.08,213.68,5.0,,,,,,,,0.0,,,
1,0,35.0,20,0,10.0,0,15.0,20,337.8624474958932,61.86974654471436,5.2,0.0,12.45,13.399999999999999,0.0,32.65,0.0,28.450000000000003,13.05,546.0,21.6,460.0,0.0,462.0,0.0,1.0,0.0,0.0,0.0,5.22,0.64,208.46,8.66,,,,,,,,1.0,,,
1,0,0.0,20,0,55.0,0,25.0,0,67.31573232641826,-144.2091581786006,8.100000000000001,0.0,0.0,21.5,0.0,55.3,0.0,23.2,0.0,152.3,4.7,318.0,10.0,569.0,47.3,1.79,0.12,23.0,4.3,1.63,0.08,193.04,5.14,,,,,,,,0.0,,,
1,0,10.0,0,0,0.0,0,75.0,15,278.37490397775,-0.7400964607881734,8.45,0.0,10.6,0.0,0.0,0.0,0.0,73.9,15.4,209.9,38.1,398.0,23.7,899.0,27.2,2.26,0.07,36.0,1.0,2.42,0.11,212.4,5.53,,,,,,,,0.0,,,
1,0,50.0,5,0,15.0,0,5.0,25,365.4429332091154,-42.41218704797591,4.25,0.0,48.8,5.3,0.0,15.0,0.0,4.9,26.0,277.6,14.8,539.0,38.6,1581.0,81.5,2.93,0.36,27.0,4.1,3.37,0.41,225.55,14.12,,,,,,,,0.0,,,
1,0,35.0,20,0,30.0,0,15.0,0,112.7525073466349,-153.5130576488452,5.8,0.0,35.0,20.6,0.0,29.9,0.0,14.5,0.0,204.3,9.9,448.0,9.7,892.0,26.1,1.99,0.1,31.0,3.5,2.19,0.1,209.36,6.76,,,,,,,,0.0,,,
1,0,65.0,15,0,0.0,0,10.0,10,266.8285727877104,-141.6353218306625,3.7,0.0,64.0,15.8,0.0,0.0,0.0,9.8,10.5,274.0,19.1,548.0,27.8,960.0,15.3,1.75,0.12,22.0,2.0,3.09,0.14,237.14,8.06,,,,,,,,0.0,,,
1,0,10.0,0,0,30.0,0,40.0,20,295.6443752734542,16.05122863448696,7.600000000000001,0.0,10.4,0.0,0.0,30.6,0.0,38.0,21.0,200.2,19.7,336.0,0.2,850.0,34.7,2.53,0.1,36.0,1.5,2.33,0.1,195.94,11.25,,,,,,,,0.0,,,
1,0,15.0,20,0,15.0,0,40.0,10,243.8177624561959,33.09938390501697,7.2,0.0,15.1,21.2,0.0,14.9,0.0,38.1,10.7,196.7,7.2,431.0,1.5,895.0,6.5,2.08,0.03,32.0,0.0,2.43,0.15,196.74,11.87,,,,,,,,0.0,,,
1,0,40.0,5,0,15.0,0,20.0,20,333.2167889805813,-63.82586045158005,5.300000000000001,0.0,39.6,5.3,0.0,15.1,0.0,19.2,20.8,289.8,11.2,518.0,46.5,1325.0,64.3,2.56,0.1,21.0,1.9,3.42,0.13,234.77,3.79,,,,,,,,0.0,,,
1,0,25.0,0,0,35.0,0,35.0,5,157.4524676865036,123.7373358406803,7.05,0.0,25.6,0.0,0.0,36.0,0.0,33.3,5.2,160.0,9.5,305.0,0.4,557.0,26.5,1.83,0.09,20.0,1.8,1.8,0.06,162.96,4.45,,,,,,,,0.0,,,
1,0,20.0,5,0,15.0,0,40.0,20,322.3600033538088,62.44389805475998,6.9,0.0,20.2,5.3,0.0,15.1,0.0,38.4,20.9,244.6,7.5,244.0,7.1,644.0,47.6,2.64,0.27,39.0,4.9,1.85,0.04,178.91,2.38,,,,,,,,0.0,,,
1,0,20.0,10,0,0.0,0,45.0,25,370.6097422114711,237.9095014399738,6.75,0.0,20.0,10.4,0.0,0.0,0.0,43.5,26.2,248.9,26.1,615.0,18.1,1256.0,70.8,2.04,0.06,36.0,0.2,3.0,0.24,211.02,6.83,,,,,,,,0.0,,,
1,5,5.0,0,0,40.0,0,45.0,5,407.6009792587693,127.0561689346237,8.2,3.9,5.6,0.0,0.0,42.2,0.0,42.8,5.5,150.2,7.2,477.0,0.3,1062.0,26.6,2.23,0.05,34.0,1.7,2.69,0.07,211.67,4.99,,,,,,,,0.0,,,
1,0,10.0,5,0,10.0,0,55.0,20,322.7157020603531,136.6335748126424,7.8,0.0,10.3,5.4,0.0,10.1,0.0,53.3,20.9,244.7,24.8,469.0,37.6,1040.0,60.2,2.22,0.14,33.0,1.9,2.76,0.16,211.4,5.56,,,,,,,,0.0,,,
1,0,20.0,20,0,15.0,0,30.0,15,289.5827742849006,63.98146385691356,6.550000000000001,0.0,19.8,21.1,0.0,14.8,0.0,28.5,15.9,270.9,8.8,470.0,5.0,967.0,63.9,2.06,0.11,31.0,1.7,2.51,0.2,193.22,12.63,,,,,,,,0.0,,,
1,0,30.0,5,0,15.0,0,20.0,30,368.6729681830836,117.3892291118452,5.600000000000001,0.0,25.35,10.55,0.0,15.2,0.0,38.45,10.55,444.0,23.6,404.5,7.95,793.5,37.55,1.945,0.10500000000000001,26.5,1.7,4.28,1.15,202.06,11.59,,,,,,,,1.0,,,
1,0,30.0,0,0,15.0,0,50.0,5,148.4222272439821,69.18857352890144,7.05,0.0,30.9,0.0,0.0,15.6,0.0,48.4,5.2,177.1,15.4,339.0,10.9,620.0,11.2,1.83,0.1,22.0,1.7,1.92,0.03,188.44,2.22,,,,,,,,0.0,,,
2,4,8.0,4,4,16.0,12,48.0,4,364.1664645789403,228.3864762077781,8.08,4.1,8.2,4.2,4.1,16.1,12.2,47.1,4.1,158.8,9.3,277.1,5.8,930.4,10.4,3.36,0.08,41.0,0.2,2.14,0.07,198.95,5.38,2.469271065,0.01223158095,2.301561944,0.121436357,1.072867525,0.05685618595,2.93648,0.0,,0.5,19.9
2,4,16.0,0,4,12.0,8,52.0,4,372.3869585642555,195.2135088334576,7.800000000000001,3.7,16.2,0.0,4.2,12.4,8.3,51.2,4.0,152.1,7.4,267.5,0.1,949.4,13.7,3.55,0.05,42.3,0.2,1.99,0.06,192.46,4.51,2.450212839,0.05225331094,2.321220621,0.04386298467,1.055570856,0.03007687738,2.95912,0.0,,0.5,19.0
2,4,12.0,8,4,16.0,8,48.0,0,345.3217003626806,131.4777856296133,7.92,4.0,12.2,8.3,4.1,16.2,8.1,47.1,0.0,131.0,6.3,226.3,2.3,888.3,1.5,3.92,0.04,42.2,1.9,1.86,0.06,188.59,6.99,2.165430443,0.03516344008,1.905471508,0.07412491233,1.136427616,0.04790530912,3.15257,0.0,,0.5,24.0
2,0,12.0,8,4,16.0,20,36.0,4,156.6231368096109,133.0353193339203,7.64,0.0,11.8,8.1,4.1,15.9,20.5,35.4,4.0,144.9,4.4,271.2,0.0,906.0,29.7,3.34,0.11,39.1,1.8,1.91,0.05,183.07,9.25,2.290953374,0.02799759426,2.098720863,0.05715818699,1.091595083,0.0325852405,3.00533,0.0,,0.5,15.0
