Nb,Cr,V,W,Zr,PROP LT (K),PROP ST (K),PROP 500C CTE (1/K),PROP 1000C CTE (1/K),PROP 1500C CTE (1/K),EQ 1273K THCD (W/mK),EQ 1273K Density (g/cc),EQ 1523K THCD (W/mK),EQ 1523K Density (g/cc),EQ 2/3*ST THCD (W/mK),EQ 2/3*ST Density (g/cc),Pugh_Ratio_PRIOR,YS 1000C PRIOR,YS 1500C PRIOR,1000 Min Creep NH [1/s],1300 Min Creep NH [1/s],1500 Min Creep NH [1/s],SCHEIL ST,SCHEIL LT,Kou Criteria
0,0,0.85,0.15,0,2394.30664,2302.173499,9.27E-06,1.01E-05,1.12E-05,45.89420019,8.087427388,49.0019863,8.012618034,49.14986004,8.008921653,3.150987224,77.61840911,32.94697229,5.51E-06,5.59E-05,1.78E-09,2394.396639,2191.301014,162.6858241
0.15,0,0.65,0.2,0,2501.275714,2327.207192,8.64E-06,9.36E-06,1.03E-05,30.15793281,9.075128025,31.22293618,8.998441944,31.34151197,8.989296523,3.150987224,444.6296403,260.7742457,4.03E-12,2.42E-09,5.07E-08,2501.365709,2139.270084,254.2610145
0.6,0,0.05,0.35,0,3001.281826,2880.453047,6.76E-06,7.16E-06,7.57E-06,48.18642718,11.98158761,49.08129896,11.90914176,50.4282993,11.78691884,3.150987224,281.3537777,167.2666183,1.33E-11,1.86E-08,6.35E-07,3001.371825,2351.2762,1145.551746
0.25,0.05,0.55,0.15,0,2439.575794,2286.59639,8.59E-06,9.32E-06,1.03E-05,26.43618503,8.665633428,27.15028207,8.592061083,27.15414365,8.591630432,3.138888889,535.7873069,320.0648579,1.05E-12,1.02E-09,2.37E-08,2432.261062,2091.165437,199.0002754
0.05,0.1,0.85,0,0,2168.242895,2166.290325,9.80E-06,1.08E-05,1.21E-05,31.99266484,6.149491843,33.44859812,6.087202262,32.99594536,6.107589037,3.126874279,51.7900532,18.76252004,5.23E-06,7.48E-05,1.03E-08,2157.628977,2124.533352,53.25523237
0.2,0.1,0.65,0.05,0,2230.651676,2190.546665,9.17E-06,1.00E-05,1.12E-05,25.09173685,7.23673744,25.81039244,7.169218712,25.63526843,7.186814459,3.126874279,326.2131981,172.8005477,1.44E-06,1.13E-05,4.26E-05,2201.992661,2070.897036,105.758979
0.55,0,0.1,0.35,0,2970.453992,2796.884522,6.88E-06,7.30E-06,7.75E-06,43.42878563,11.87111274,44.24705957,11.79735668,45.30548574,11.69030529,3.114942529,404.2629756,251.7854644,9.79E-07,1.16E-05,1.01E-07,2970.543987,2201.448362,1440.143847
0.1,0,0.7,0.2,0,2487.356835,2328.075125,8.76E-06,9.50E-06,1.04E-05,33.19531399,8.979084582,34.54679724,8.901717426,34.70116722,8.892289441,3.114942529,363.4789096,206.1316088,3.58E-12,2.28E-09,4.92E-08,2487.446833,2146.351208,257.1303355
0.2,0.05,0.6,0.15,0,2419.08118,2280.309987,8.71E-06,9.46E-06,1.05E-05,27.32907719,8.560457181,28.13042738,8.48635479,28.12174294,8.487221998,3.103092784,487.884148,286.483299,2.97E-06,1.85E-05,6.17E-05,2411.959821,2098.864196,198.7241925
0.15,0.1,0.7,0.05,0,2225.76962,2190.94994,9.29E-06,1.02E-05,1.14E-05,26.61533137,7.1179663,27.46106097,7.05037349,27.25536668,7.067925388,3.091324201,266.3652365,135.9606858,9.43E-07,1.03E-07,1.25E-06,2202.06514,2082.969515,111.3959751
0.05,0,0.75,0.2,0,2477.888065,2333.630926,8.88E-06,9.65E-06,1.06E-05,38.29889474,8.884339288,40.18570947,8.806311835,40.43083805,8.795569813,3.07963595,260.5720487,139.8195761,2.99E-12,2.05E-09,4.59E-08,2477.978063,2160.882438,251.1777073
0.25,0.15,0.6,0,0,2150.993049,2150.543126,9.23E-06,1.01E-05,1.14E-05,23.66392053,6.71472713,24.24982195,6.650695266,24.04672985,6.674420062,3.07963595,302.4389067,155.0243467,7.61E-11,1.42E-07,6.09E-06,2084.827894,2031.732269,87.86801951
0.15,0.05,0.65,0.15,0,2402.996305,2277.701291,8.83E-06,9.61E-06,1.06E-05,28.96465244,8.45620297,29.90876438,8.3815976,29.89210844,8.3830153,3.068027211,421.9357796,241.5992165,3.04E-10,1.18E-07,1.88E-06,2396.653247,2108.557622,202.8735144
0.1,0.1,0.75,0.05,0,2225.960327,2195.172922,9.40E-06,1.03E-05,1.16E-05,29.11368918,6.998726159,30.17181222,6.931103447,29.92530971,6.947891537,3.056497175,194.0056851,93.47196789,1.25E-16,4.15E-12,5.61E-09,2209.138352,2099.042727,117.9024521
0,0,0.8,0.2,0,2473.058383,2344.372918,9.00E-06,9.79E-06,1.08E-05,47.52661071,8.790822487,50.58822997,8.712155482,51.08084077,8.698923131,3.045045045,137.6626558,66.20330827,4.62E-06,4.65E-05,1.95E-09,2473.148382,2194.052757,219.0940001
0.2,0.15,0.65,0,0,2149.570736,2149.530365,9.35E-06,1.03E-05,1.16E-05,24.44549876,6.58752494,25.10111919,6.523612194,24.87175054,6.54747977,3.045045045,257.7968472,128.1426177,5.45E-13,5.12E-10,1.33E-08,2092.936248,2046.840623,75.69945166
0.1,0.05,0.7,0.15,0,2391.716715,2278.936281,8.95E-06,9.75E-06,1.08E-05,31.69240335,8.352769945,32.87740939,8.277689103,32.86022557,8.278858048,3.033670034,336.9308245,185.7165691,7.36E-10,1.90E-07,2.42E-06,2386.853766,2121.758141,207.8076706
0.05,0.1,0.8,0.05,0,2230.71851,2203.61672,9.52E-06,1.04E-05,1.17E-05,33.2158479,6.878822843,34.65715104,6.811216539,34.35166099,6.826442821,3.022371365,111.2387269,48.32996434,9.38E-11,3.59E-08,6.08E-07,2222.041881,2124.946256,109.9018599
0.35,0.1,0.4,0.15,0,2488.423002,2301.968465,8.27E-06,8.97E-06,9.93E-06,27.20789515,8.968810844,27.97715232,8.878700805,28.00270323,8.875084781,3.022371365,674.9366915,420.1378214,4.21E-15,6.08E-12,1.88E-10,2476.657259,2013.561634,256.5327767
0.15,0.15,0.7,0,0,2152.554992,2151.860907,9.47E-06,1.04E-05,1.17E-05,25.84754193,6.459357603,26.61522702,6.395615925,26.35080916,6.419028356,3.011148272,203.0453542,96.47248605,6.84E-16,9.98E-12,2.12E-09,2108.421445,2062.32582,71.41500031
0.2,0.05,0.55,0.2,0,2513.948489,2328.198266,8.44E-06,9.15E-06,1.01E-05,28.93776666,9.244099282,29.74148939,9.1668661,29.8318739,9.157384029,3,592.3238838,363.6812571,6.95E-12,3.81E-09,7.66E-08,2508.989996,2096.894371,267.0765671
0.05,0.05,0.75,0.15,0,2385.39015,2284.30965,9.06E-06,9.89E-06,1.10E-05,36.22993723,8.250053174,37.85477435,8.174524908,37.85396276,8.174565208,3,232.6928064,120.4443078,2.99E-11,1.61E-08,3.21E-07,2382.711262,2144.615637,198.0452197
0.3,0.1,0.45,0.15,0,2460.312862,2290.964694,8.38E-06,9.11E-06,1.01E-05,27.09374119,8.843250202,27.69226717,8.769012372,27.70213321,8.767664359,2.988925803,655.0260309,404.6618178,1.17E-12,6.10E-09,18919537.67,2447.455132,2029.359507,237.1760256
0,0.1,0.85,0.05,0,2239.497605,2216.779529,9.64E-06,1.06E-05,1.19E-05,40.36915985,6.75804638,42.60413158,6.69050521,42.20405004,6.703274931,2.988925803,27.75009365,9.13944185,1.10E-09,4.91E-07,6.11E-06,2239.587599,2186.491974,45.86878905
0.25,0.15,0.55,0.05,0,2237.614001,2192.296022,8.96E-06,9.81E-06,1.10E-05,25.04126906,7.416083438,25.62684177,7.347597345,25.48807717,7.365179866,2.977924945,435.3197378,243.0631194,1.44E-11,6.56E-06,4.65E-07,2193.455631,2018.360006,147.1898164
0.1,0.15,0.75,0,0,2159.380644,2157.894739,9.59E-06,1.05E-05,1.19E-05,28.14786574,6.329993921,29.10081685,6.266478049,28.78680119,6.288778312,2.977924945,139.0153782,61.47251972,8.03E-06,8.36E-05,6.99E-10,2129.485095,2080.38947,78.34360014
0.5,0,0.1,0.4,0,3020.628907,2836.911023,6.72E-06,7.13E-06,7.58E-06,44.16346345,12.42125154,44.8865696,12.34576146,45.89623345,12.22708877,2.977924945,458.0448596,292.5437456,2.22E-14,3.36E-11,1.09E-09,3020.718902,2201.623277,1540.592751
0.15,0.05,0.6,0.2,0,2494.710056,2323.645468,8.55E-06,9.30E-06,1.03E-05,30.52884749,9.144951213,31.47168463,9.067026025,31.56700814,9.058450128,2.9669967,525.0056074,315.8088689,3.09E-10,1.18E-07,2.01E-06,2490.215909,2107.120284,264.4881467
0,0.05,0.8,0.15,0,2383.89885,2294.270418,9.18E-06,1.00E-05,1.12E-05,44.25872856,8.147942813,46.81160435,8.071995827,46.87784723,8.069910905,2.9669967,112.3689498,51.14348353,1.00E-08,1.83E-06,3.68E-06,2383.988845,2191.89322,146.7430851
0.25,0.1,0.5,0.15,0,2435.288753,2282.652266,8.50E-06,9.25E-06,1.03E-05,27.26196877,8.735286927,27.90493907,8.660503225,27.90190171,8.660891284,2.956140351,618.6655168,377.8478257,2.54E-14,2.65E-11,7.59E-05,2421.77459,2043.678965,229.982233
0.05,0.15,0.8,0,0,2169.547146,2168.007879,9.71E-06,1.07E-05,1.21E-05,31.90079592,6.19918291,33.18251377,6.135950726,32.79254059,6.156421296,2.945355191,69.09715066,26.65790679,5.95E-13,7.69E-10,7.63E-09,2154.634774,2109.539149,75.31453639
0.2,0.15,0.6,0.05,0,2227.814887,2190.356512,9.08E-06,9.95E-06,1.12E-05,25.75779344,7.295970672,26.41083274,7.227381899,26.25249369,7.245366315,2.945355191,381.7307964,208.0320368,6.57E-06,6.50E-05,1.24E-09,2186.941141,2034.845516,141.8503161
0.1,0.05,0.65,0.2,0,2479.344934,2322.826104,8.67E-06,9.44E-06,1.05E-05,33.23687888,9.047203775,34.41358251,8.968607633,34.53061668,8.96012977,2.934640523,435.3692083,253.9818891,7.67E-10,2.03E-07,2.78E-06,2475.809592,2122.713967,263.6957052
0.2,0.1,0.55,0.15,0,2413.99432,2277.135527,8.62E-06,9.40E-06,1.05E-05,27.98338894,8.628379288,28.7002995,8.55307664,28.68676385,8.55463431,2.923995657,564.5072944,339.1281987,5.72E-15,1.98E-05,6.90E-05,2400.592822,2058.497197,227.0011689
0.55,0,0,0.45,0,3126.294919,3054.336399,6.33E-06,6.68E-06,7.04E-06,54.62641859,13.18827903,55.25667743,13.11431256,56.51629912,12.95200771,2.913419913,217.5200878,127.3899799,6.92E-15,2.43E-11,1.63E-09,3126.384914,2870.078039,373.0793742
0.15,0.15,0.65,0.05,0,2223.190682,2191.277145,9.20E-06,1.01E-05,1.14E-05,27.11351318,7.175597561,27.87489732,7.106948702,27.69168011,7.124785673,2.913419913,314.2139974,165.3518191,4.22E-14,2.38E-10,3.30E-08,2189.236593,2053.140968,142.2200995
0.1,0,0,0,0.9,2054.544348,2038.248754,7.79E-06,8.39E-06,8.99E-06,8.870618554,6.56251005,9.094526169,6.514579727,8.952288368,6.546333583,2.913419913,,,1.93E-06,1.84E-05,9.04E-05,2054.634345,2016.614345,40.26473052
0.05,0.05,0.7,0.2,0,2468.271328,2325.913933,8.79E-06,9.58E-06,1.06E-05,37.77088405,8.950785862,39.37132411,8.871539739,39.54455826,8.862288568,2.902912621,322.2455562,179.0098049,9.51E-12,6.38E-09,1.41E-07,2466.267645,2147.17202,247.4307019
0.15,0.1,0.6,0.15,0,2396.990396,2274.563851,8.74E-06,9.54E-06,1.07E-05,29.41438347,8.522427634,30.25089605,8.446633314,30.22952,8.448749785,2.892473118,491.1711231,288.1556407,3.41E-12,5.60E-09,1.01E-07,2384.850413,2074.754788,228.4893747
0.1,0.15,0.7,0.05,0,2223.227125,2195.391755,9.31E-06,1.02E-05,1.16E-05,29.38113853,7.054781669,30.3208748,6.986117212,30.10412019,7.003191714,2.88210075,232.7424205,116.0842794,2.37E-06,1.78E-05,6.33E-05,2199.065155,2074.96953,145.4460557
0,0.05,0.75,0.2,0,2461.698311,2333.225365,8.91E-06,9.72E-06,1.08E-05,45.7749456,8.855625606,48.25711231,8.775750454,48.57713422,8.764756165,2.871794872,186.3267102,94.4599967,2.54E-08,2.95E-06,3.12E-06,2461.788309,2194.692684,193.6716558
0.1,0.1,0.65,0.15,0,2384.650177,2275.133647,8.86E-06,9.68E-06,1.08E-05,31.85664017,8.417328989,32.89141266,8.341070721,32.86638803,8.343079976,2.861554846,397.4124137,225.08173,6.04E-12,3.22E-10,4.57E-08,2375.200796,2096.105171,227.7183652
0.05,0.15,0.75,0.05,0,2227.381111,2203.040533,9.43E-06,1.04E-05,1.18E-05,33.10313268,6.933326925,34.35681595,6.864693509,34.09140887,6.880323619,2.851380042,139.0521049,63.14846745,9.41E-11,3.75E-08,6.47E-07,2214.878094,2109.782469,131.5869471
0.05,0,0,0,0.95,2088.205273,2069.753879,7.79E-06,8.40E-06,9.01E-06,19.23562176,6.482994147,20.36686474,6.435473525,19.73642969,6.462992217,2.851380042,,,3.45E-06,2.61E-05,0.000102453,2088.295269,2022.199644,107.3962537
0.15,0.2,0.65,0,0,2152.632558,2151.873033,9.38E-06,1.03E-05,1.18E-05,26.40400175,6.512844885,27.09524142,6.448113773,26.85877826,6.471965908,2.841269841,241.9082616,119.0169924,1.32E-16,3.34E-12,1.46E-09,2098.15039,2032.054765,104.8364964
0.2,0.1,0.5,0.2,0,2508.881294,2320.303912,8.35E-06,9.09E-06,1.01E-05,29.62847256,9.316670101,30.33318975,9.238169257,30.39744507,9.230224642,2.831223629,681.0809086,426.7876673,3.01E-06,2.04E-05,6.98E-05,2499.687833,2052.592208,288.9487301
0.05,0.1,0.7,0.15,0,2377.096612,2279.096827,8.97E-06,9.82E-06,1.10E-05,35.91761987,8.312976322,37.30441939,8.236282381,37.28496268,8.237449785,2.831223629,282.6497832,151.2564034,3.50E-17,7.82E-10,1.14E-09,2371.802253,2128.706628,207.5480839
0,0.15,0.8,0.05,0,2235.125038,2214.585761,9.55E-06,1.05E-05,1.19E-05,39.48425345,6.811021475,41.36198815,6.742468177,41.01845466,6.75590064,2.821240799,41.76331623,15.01790629,4.48E-11,1.86E-08,3.25E-07,2235.215038,2187.119413,41.06951456
0.1,0.2,0.7,0,0,2159.972754,2158.587115,9.50E-06,1.05E-05,1.19E-05,28.49895185,6.381918326,29.34672086,6.317429178,29.07086187,6.340024945,2.811320755,168.6046022,77.56893391,8.54E-06,8.98E-05,6.39E-10,2123.061705,2055.96608,108.4905091
0.15,0.1,0.55,0.2,0,2488.528164,2316.321519,8.46E-06,9.23E-06,1.03E-05,30.99283617,9.215742575,31.8127531,9.136560097,31.87943035,9.129434441,2.801462905,606.414522,372.6987068,8.52E-12,1.50E-08,1.80E-07,2480.036759,2070.941134,286.4580056
0,0.1,0.75,0.15,0,2374.203584,2286.776912,9.09E-06,9.97E-06,1.12E-05,42.96532793,8.209257701,45.0610522,8.132157032,45.07355965,8.131661472,2.801462905,149.0166176,71.42002135,2.69E-10,5.83E-08,7.45E-07,2374.293578,2192.197953,131.4385217
0.5,0,0,0.5,0,3174.597873,3096.199896,6.18E-06,6.51E-06,6.87E-06,55.27553838,13.73560497,55.73066685,13.6604322,56.7300383,13.48566412,2.791666667,251.7860535,151.7337594,7.62E-06,7.24E-05,1.96E-09,3174.687868,2890.424743,418.5016748
0.05,0.2,0.75,0,0,2170.052079,2168.680021,9.62E-06,1.06E-05,1.21E-05,31.92369923,6.249565874,33.04301088,6.185376972,32.70704449,6.20611023,2.781931464,87.79682719,35.65794869,1.94E-13,2.84E-10,7.36E-09,2151.600516,2092.504891,102.9695715
0.1,0.1,0.6,0.2,0,2471.887584,2315.255186,8.58E-06,9.37E-06,1.05E-05,33.3896758,9.11625053,34.39932931,9.036407655,34.47902728,9.029457374,2.772256729,508.1654684,303.5532316,6.00E-12,3.22E-09,2.02E-07,2465.079397,2094.983772,279.0559562
0.15,0.2,0.6,0.05,0,2218.85362,2188.432818,9.11E-06,1.00E-05,1.14E-05,27.69767703,7.234052462,28.37166913,7.164331482,28.20592186,7.183064859,2.75308642,363.5419116,196.4357338,4.34E-10,1.26E-07,1.87E-06,2175.851679,2019.756054,180.4915321
0.05,0.1,0.65,0.2,0,2459.393573,2317.286463,8.70E-06,9.51E-06,1.07E-05,37.41406041,9.018120562,38.75755662,8.937638461,38.87128775,8.930160143,2.743589744,384.8072257,219.8888242,8.52E-18,9.96E-10,,2455.444682,2130.349057,250.0259016
0.1,0.2,0.65,0.05,0,2219.44585,2193.561819,9.22E-06,1.02E-05,1.16E-05,29.7417514,7.111625299,30.56456182,7.041903461,30.37255106,7.05966155,2.724770642,272.7335804,140.1210018,8.33E-16,1.69E-05,5.59E-05,2188.824368,2047.728743,180.2359907
0,0.1,0.7,0.2,0,2451.270611,2322.661126,8.82E-06,9.66E-06,1.08E-05,44.39279171,8.921278524,46.39892259,8.84017835,46.59848747,8.831391521,2.715447154,236.2318126,124.6676609,3.08E-10,6.23E-08,9.50E-07,2451.360607,2194.264982,172.6606247
0.25,0.15,0.4,0.2,0,2527.852622,2310.688532,8.14E-06,8.88E-06,9.96E-06,29.84226195,9.508411999,30.53534666,9.41547444,30.57062399,9.409593795,2.706180344,829.8365222,536.2442428,6.61E-06,6.61E-05,2.73E-09,2515.607268,1980.511643,324.8408337
0.05,0.2,0.7,0.05,0,2223.702563,2201.495391,9.34E-06,1.03E-05,1.18E-05,33.11408873,6.988584607,34.19267086,6.918908877,33.96216503,6.935137778,2.696969697,167.9485124,79.13217819,2.63E-11,4.52E-08,7.68E-07,2207.843798,2090.748173,157.995529
0.45,0,0,0.55,0,3224.118585,3140.060478,6.02E-06,6.35E-06,6.70E-06,56.33418925,14.28212799,56.61063908,14.20590195,57.32330036,14.01811535,2.678714859,281.6388021,173.5677955,6.64E-06,6.26E-05,2.50E-09,3224.208581,2913.658581,466.1806916
0.05,0.15,0.65,0.15,0,2368.956656,2273.157606,8.88E-06,9.76E-06,1.10E-05,35.75388494,8.376751824,36.92257883,8.2988754,36.88855335,8.301375212,2.678714859,333.3724162,183.4090888,9.51E-12,5.89E-09,1.25E-07,2361.21887,2110.123245,222.4413361
0.2,0.15,0.45,0.2,0,2503.611818,2307.339292,8.26E-06,9.02E-06,1.01E-05,30.42223217,9.390272446,31.02093675,9.31048492,31.05531692,9.305309445,2.678714859,770.4859022,491.4026601,5.72E-14,3.61E-05,1.91E-09,2491.089261,2004.993636,320.744321
0.15,0.2,0.55,0.1,0,2296.413111,2223.968076,8.83E-06,9.72E-06,1.11E-05,29.09289071,7.948965563,29.74111184,7.874748538,29.64153143,7.887397141,2.66966967,495.238368,286.6240682,1.40E-10,5.08E-08,8.37E-07,2265.094566,2008.998941,246.8187105
0,0.2,0.75,0.05,0,2231.068567,2212.544338,9.46E-06,1.05E-05,1.20E-05,38.82482022,6.864716594,40.39314669,6.795136398,40.10100888,6.809220604,2.66966967,56.97878005,21.87379747,9.56E-14,2.52E-10,1.09E-08,2231.158566,2187.062941,39.26746016
0.1,0.25,0.65,0,0,2158.895362,2157.151209,9.41E-06,1.04E-05,1.20E-05,28.94244028,6.434582555,29.68468245,6.369105278,29.44244739,6.392378529,2.660678643,199.3759236,94.88360313,3.90E-16,2.21E-12,1.72E-10,2116.504377,2028.408752,141.7648403
0,0.15,0.7,0.15,0,2365.001803,2279.888623,9.00E-06,9.90E-06,1.12E-05,41.96435363,8.271387947,43.67383631,8.193117226,43.6534498,8.194140604,2.651741294,186.6517892,93.13078794,3.64E-12,2.51E-09,5.58E-08,2365.091801,2192.996176,118.7824489
0.15,0.15,0.5,0.2,0,2482.334769,2305.601015,8.37E-06,9.16E-06,1.03E-05,31.55806434,9.287522337,32.2520726,9.207064004,32.28902642,9.20223931,2.651741294,688.2927911,430.914888,4.49E-14,4.48E-10,1.28E-07,2470.514488,2031.418863,314.8860549
0.4,0,0.05,0.55,0,3199.965787,3047.517897,6.14E-06,6.49E-06,6.88E-06,51.79554573,14.17620436,52.15793934,14.09817964,52.91837124,13.9262626,2.651741294,445.545839,290.5377676,1.40E-15,3.83E-12,1.65E-10,3200.055784,2379.960159,1438.198959
0.1,0.2,0.6,0.1,0,2289.665549,2227.957284,8.95E-06,9.86E-06,1.12E-05,31.07373889,7.833987281,31.86246551,7.759542639,31.74894842,7.77140897,2.642857143,391.7107679,217.9815458,2.80E-06,1.73E-05,5.64E-05,2265.893334,2041.797709,240.2452886
0.05,0.25,0.7,0,0,2169.74575,2168.29054,9.53E-06,1.06E-05,1.22E-05,32.06187099,6.300655233,33.02693911,6.235495202,32.73891595,6.256682208,2.634025717,107.4106507,45.5233831,6.34E-14,1.12E-10,4.11E-09,2148.539942,2072.444317,134.3454638
0.1,0.15,0.55,0.2,0,2464.61943,2305.780806,8.49E-06,9.31E-06,1.05E-05,33.65679404,9.186243867,34.50374187,9.10513615,34.54941089,9.100226721,2.625246548,581.2816651,354.3047901,2.58E-12,1.33E-05,1.65E-08,2454.944903,2063.849278,302.8628161
0.15,0.25,0.55,0.05,0,2212.539664,2182.28965,9.02E-06,9.96E-06,1.14E-05,28.37786921,7.293348732,28.95967948,7.222539211,28.8089957,7.242836232,2.607843137,413.8164569,228.8251317,1.96E-13,3.65E-05,4.43E-09,2161.854327,1983.758702,223.097845
0.05,0.15,0.6,0.2,0,2450.925323,2308.162076,8.61E-06,9.45E-06,1.07E-05,37.21911505,9.086361263,38.32718917,9.004625524,38.39397216,8.999117685,2.599217986,447.6088501,261.8740476,3.02E-12,2.33E-09,5.53E-08,2445.202667,2111.107042,261.1884119
0.1,0.25,0.6,0.05,0,2214.468292,2189.655012,9.13E-06,1.01E-05,1.16E-05,30.20227904,7.169273734,30.90744014,7.098478546,30.73760863,7.117343362,2.582118562,313.4533744,165.2163183,1.36E-12,7.45E-14,6.18E-12,2178.413415,2018.31779,222.118669
0,0.15,0.65,0.2,0,2441.487296,2313.018571,8.73E-06,9.59E-06,1.09E-05,43.3250268,8.987798014,44.92945185,8.905455611,45.04689419,8.898757058,2.573643411,286.5238833,156.1056498,1.02E-12,9.14E-10,2.46E-08,2441.577291,2194.481666,153.6727938
0.05,0.25,0.65,0.05,0,2219.601709,2199.007108,9.25E-06,1.02E-05,1.18E-05,33.24896232,7.044611574,34.16087328,6.97387801,33.96235856,6.990905492,2.556840077,197.3957598,95.93942421,9.43E-11,4.07E-08,7.29E-07,2200.949907,2069.854282,191.4713706
0.35,0,0.05,0.6,0,3252.353018,3093.88718,5.98E-06,6.32E-06,6.71E-06,53.75930862,14.72275182,53.97136321,14.64371644,54.51343102,14.45785473,2.548511047,469.5049379,309.9462174,5.41E-16,1.80E-12,8.50E-11,3252.443016,2392.347391,1514.57656
0.2,0.2,0.4,0.2,0,2497.748137,2289.518939,8.17E-06,8.96E-06,1.02E-05,31.33317362,9.464928413,31.81635569,9.383834778,31.82234851,9.382675094,2.540229885,860.0322012,557.0398136,9.23E-07,6.84E-06,1.15E-07,2482.893562,1954.797937,366.4206403
0.15,0.25,0.5,0.1,0,2288.009716,2214.683141,8.74E-06,9.65E-06,1.11E-05,29.8109159,8.013198253,30.353329,7.937813253,30.25849128,7.952672022,2.53199618,555.5869474,327.6612702,6.20E-13,1.66E-09,1.65E-08,2251.020491,1969.924866,292.3201734
0,0.25,0.7,0.05,0,2227.3245,2210.664,9.37E-06,1.04E-05,1.20E-05,38.37020711,6.919146462,39.66433892,6.848524295,39.41998827,6.863246326,2.53199618,72.78000432,29.39228543,2.34E-14,8.06E-11,3.95E-09,2227.414495,2187.31887,36.13795344
0.1,0.3,0.6,0,0,2156.151079,2153.462722,9.32E-06,1.03E-05,1.20E-05,29.48664944,6.488002478,30.12098311,6.4215219,29.91017298,6.445895601,2.523809524,230.834133,113.10465,5.69E-17,6.44E-13,6.94E-11,2109.852844,1998.757219,183.1981155
0,0.2,0.65,0.15,0,2356.138576,2273.693208,8.91E-06,9.83E-06,1.12E-05,41.22025726,8.334349871,42.59507156,8.2548924,42.5572153,8.257337322,2.515669516,224.5457801,115.7235787,6.39E-13,1.45E-09,4.77E-08,2356.228572,2193.132947,108.1150117
0.15,0.2,0.45,0.2,0,2475.770917,2291.773455,8.28E-06,9.10E-06,1.03E-05,32.23497349,9.360311289,32.79756535,9.278558147,32.8077207,9.276861923,2.515669516,770.1318523,489.9747826,1.47E-11,8.25E-09,1.68E-07,2461.385238,1988.289613,359.3282141
0.1,0.25,0.55,0.1,0,2282.037211,2221.443235,8.86E-06,9.79E-06,1.13E-05,31.55189149,7.896508765,32.20931388,7.82091011,32.10519594,7.834392107,2.507575758,442.6310386,251.449777,1.42E-12,2.95E-14,2.66E-12,2253.71244,2008.616815,285.082256
0.05,0.3,0.65,0,0,2168.628235,2166.805137,9.44E-06,1.05E-05,1.22E-05,32.31832709,6.352465893,33.13393835,6.286320017,32.89013227,6.308167551,2.499527856,127.4676326,55.99015716,2.16E-14,4.83E-11,2.01E-09,2145.46721,2049.371585,170.9974808
0.1,0.2,0.5,0.2,0,2457.216315,2294.707255,8.40E-06,9.24E-06,1.05E-05,34.04373728,9.257203334,34.72899577,9.174812291,34.7464313,9.172410309,2.491525424,654.1956586,405.7479988,2.91E-06,1.78E-05,5.68E-05,2445.154399,2029.058774,335.569636
0.05,0.25,0.6,0.1,0,2280.326698,2229.544718,8.98E-06,9.93E-06,1.14E-05,34.51244841,7.779978577,35.35980933,7.704203691,35.24244878,7.71600502,2.483568075,308.367192,164.9838684,2.99E-11,1.61E-08,3.21E-07,2264.862061,2067.766436,237.5535904
0.05,0.2,0.55,0.2,0,2442.587643,2298.801145,8.52E-06,9.38E-06,1.07E-05,37.18107375,9.155526319,38.06862388,9.072518926,38.10042282,9.069123471,2.467787115,510.0892545,304.4512623,6.68E-12,1.64E-08,3.10E-07,2435.298872,2089.203247,278.9790038
0.3,0,0.05,0.65,0,3305.57716,3142.526439,5.83E-06,6.16E-06,6.53E-06,56.31047493,15.26638432,56.34863967,15.18650211,56.61194736,14.98601933,2.452181987,482.6993775,321.4232995,1.93E-16,7.94E-13,4.16E-11,3305.667156,2406.571531,1593.498466
0.1,0.3,0.55,0.05,0,2208.172355,2183.610071,9.04E-06,1.00E-05,1.16E-05,30.77170208,7.227744132,31.35612226,7.155859284,31.20844129,7.176286146,2.452181987,354.4030762,191.0059081,3.43E-11,6.13E-10,1.62E-08,2167.885697,1984.790072,267.882518
